model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v08,0,qwen3-8b__p1d4__l2__r0,5,158.88799999999998,111.12899999999999,0.021518609384050764
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v08,1,qwen3-8b__p1d4__l2__r1,5,150.85899999999998,112.28649999999999,0.046975876938837834
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v09,0,qwen3-8b__p1d4__l2__r0,5,158.8765,111.2715,0.0316319742391295
qwen3-8b,P1D4,L2,qwen3-8b__p1d4__v09,1,qwen3-8b__p1d4__l2__r1,5,156.85500000000002,112.7955,0.016216241821041935
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v00,0,qwen3-8b__p1d4__l3__r0,5,108.126,82.6455,0.050471737466840014
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v00,1,qwen3-8b__p1d4__l3__r1,5,107.5925,83.0775,0.011087211258681883
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v01,0,qwen3-8b__p1d4__l3__r0,5,111.972,80.789,0.04856108810456854
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v01,1,qwen3-8b__p1d4__l3__r1,5,113.46549999999999,80.405,0.01739209096253463
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v02,0,qwen3-8b__p1d4__l3__r0,5,112.788,82.043,0.05452610992696657
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v02,1,qwen3-8b__p1d4__l3__r1,5,114.31700000000001,84.1265,0.01342447760333146
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v03,0,qwen3-8b__p1d4__l3__r0,5,115.44300000000001,91.92699999999999,0.05143076891862601
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v03,1,qwen3-8b__p1d4__l3__r1,5,113.55799999999999,92.46549999999999,0.012469813528799584
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v04,0,qwen3-8b__p1d4__l3__r0,5,202.16750000000002,112.842,0.009959911910728057
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v04,1,qwen3-8b__p1d4__l3__r1,5,202.154,113.7675,0.0129804877379331
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v05,0,qwen3-8b__p1d4__l3__r0,5,115.804,88.26650000000001,0.04631496123314731
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v05,1,qwen3-8b__p1d4__l3__r1,5,112.763,89.6475,0.09270266522763368
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v06,0,qwen3-8b__p1d4__l3__r0,5,115.297,90.7025,0.04469115457056587
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v06,1,qwen3-8b__p1d4__l3__r1,5,113.0855,92.28399999999999,0.10688321265068275
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v07,0,qwen3-8b__p1d4__l3__r0,5,159.3255,110.6325,0.061634077166550755
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v07,1,qwen3-8b__p1d4__l3__r1,5,159.434,112.5395,0.1113345969575701
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v08,0,qwen3-8b__p1d4__l3__r0,5,158.631,111.387,0.047295422517340625
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v08,1,qwen3-8b__p1d4__l3__r1,5,158.809,110.76650000000001,0.08001215948707753
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v09,0,qwen3-8b__p1d4__l3__r0,5,158.7885,111.503,0.0570369761499662
qwen3-8b,P1D4,L3,qwen3-8b__p1d4__v09,1,qwen3-8b__p1d4__l3__r1,5,159.4875,110.63300000000001,0.08840237610938437
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v00,0,qwen3-8b__p4d1__l1__r0,5,83.31899999999999,80.098,0.12790118024916738
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v00,1,qwen3-8b__p4d1__l1__r1,9,76.3575,67.761,0.14682930664753854
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v01,0,qwen3-8b__p4d1__l1__r0,5,85.83,79.624,0.12196555968696735
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v01,1,qwen3-8b__p4d1__l1__r1,9,83.116,68.316,0.12603536295776185
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v02,0,qwen3-8b__p4d1__l1__r0,5,99.22149999999999,83.78999999999999,0.050511319008354226
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v02,1,qwen3-8b__p4d1__l1__r1,9,98.7165,70.756,0.06514578289802755
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v03,0,qwen3-8b__p4d1__l1__r0,5,142.452,90.1865,0.023904245881462807
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v03,1,qwen3-8b__p4d1__l1__r1,9,142.356,81.863,0.04960284334222836
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v04,0,qwen3-8b__p4d1__l1__r0,5,241.60250000000002,113.7255,0.016771220263714137
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v04,1,qwen3-8b__p4d1__l1__r1,9,241.8315,104.887,0.022208655067301516
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v05,0,qwen3-8b__p4d1__l1__r0,5,101.8655,88.2915,0.07297984918777499
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v05,1,qwen3-8b__p4d1__l1__r1,9,95.52699999999999,79.4765,0.05008779225811681
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v06,0,qwen3-8b__p4d1__l1__r0,5,108.33250000000001,88.5155,0.05888231792507028
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v06,1,qwen3-8b__p4d1__l1__r1,9,108.8535,80.6175,0.047786748547141746
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v07,0,qwen3-8b__p4d1__l1__r0,5,143.51749999999998,110.539,0.043026886083453994
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v07,1,qwen3-8b__p4d1__l1__r1,9,142.97500000000002,103.0815,0.03194366507218331
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v08,0,qwen3-8b__p4d1__l1__r0,5,131.5115,111.314,0.03965157876847413
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v08,1,qwen3-8b__p4d1__l1__r1,9,125.9265,103.587,0.04847086094863059
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v09,0,qwen3-8b__p4d1__l1__r0,5,116.739,110.28200000000001,0.03429605741657772
qwen3-8b,P4D1,L1,qwen3-8b__p4d1__v09,1,qwen3-8b__p4d1__l1__r1,9,120.2235,103.8295,0.04243758723013404
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v00,0,qwen3-8b__p4d1__l2__r0,9,84.499,82.8455,0.0373808213100831
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v00,1,qwen3-8b__p4d1__l2__r1,5,81.818,80.7345,0.07730248844083365
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v01,0,qwen3-8b__p4d1__l2__r0,9,85.5355,80.39699999999999,0.03879701527175853
qwen3-8b,P4D1,L2,qwen3-8b__p4d1__v01,1,qwen3-8b__p4d1__l2__r1,5,82.6505,68.458,0.07416363895298093
