model,tp,profile_id,source,segment,split,strategy,batch_count,request_count,input_tokens,actual_output_tokens,prefill_wall_us_per_1000,decode_wall_us_per_1000,total_wall_us_per_1000,arrival_span_ms
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,balanced,4,32,29547,3101,7081193.121848628,769115270.8721347,776196463.9939834,293000.0
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,latency,8,32,29547,3101,13284727.785503492,1481169476.3775449,1494454204.1630485,293000.0
deepseek-v2-lite,2,profile_11_burstgpt_3_c0,burstgpt,burstgpt_3,temporal_test,throughput,2,32,29547,3101,4966259.992215782,382897459.7272463,387863719.7194621,293000.0
deepseek-v2-lite,2,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,balanced,4,32,1351,386,6432473.979657516,354798871.1798098,361231345.15946734,284000.0
deepseek-v2-lite,2,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,latency,8,32,1351,386,13758012.180915102,416064128.83265877,429822141.0135739,284000.0
deepseek-v2-lite,2,profile_12_burstgpt_3_c1,burstgpt,burstgpt_3,temporal_test,throughput,2,32,1351,386,3421755.3620692343,202930881.05972856,206352636.4217978,284000.0
deepseek-v2-lite,2,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,balanced,4,32,14597,1819,6975564.989261329,769248996.8321751,776224561.8214365,290000.0
deepseek-v2-lite,2,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,latency,8,32,14597,1819,13241465.465398505,1534214643.150335,1547456108.6157336,290000.0
deepseek-v2-lite,2,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,throughput,2,32,14597,1819,3542185.9938651323,384659911.38946265,388202097.3833278,290000.0
deepseek-v2-lite,2,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,balanced,4,32,18930,1461,6846754.840807989,698093189.4504465,704939944.2912545,296000.0
deepseek-v2-lite,2,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,latency,8,32,18930,1461,13519977.88879089,1158697999.1116095,1172217977.0004005,296000.0
deepseek-v2-lite,2,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,throughput,2,32,18930,1461,3946167.533285916,382491458.9058608,386437626.4391467,296000.0
deepseek-v2-lite,2,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,balanced,4,32,6097,322,6538549.729157239,291454711.72523683,297993261.4543941,284000.0
deepseek-v2-lite,2,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,latency,8,32,6097,322,12791469.227522612,302459370.05383897,315250839.2813616,284000.0
deepseek-v2-lite,2,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,throughput,2,32,6097,322,3512196.4174322784,284331777.97705865,287843974.39449096,284000.0
deepseek-v2-lite,2,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,balanced,6,32,163424,3519,28013073.839247227,1157128581.8936303,1185141655.7328775,294000.0
deepseek-v2-lite,2,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,latency,27,32,163424,3519,45327121.77024223,4641810229.280964,4687137351.051206,294000.0
deepseek-v2-lite,2,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,throughput,3,32,163424,3519,27548254.904104397,579008856.7882776,606557111.692382,294000.0
deepseek-v2-lite,2,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,balanced,6,32,172375,3497,29560778.115410358,1156697718.6012082,1186258496.7166185,299999.0
deepseek-v2-lite,2,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,latency,25,32,172375,3497,41989285.295130685,4206852871.4298735,4248842156.725004,299999.0
deepseek-v2-lite,2,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,throughput,3,32,172375,3497,29162858.14717412,576199328.9925158,605362187.1396899,299999.0
deepseek-v2-lite,2,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,balanced,7,32,186555,3432,31806128.565222025,1327012560.213916,1358818688.779138,297000.0
deepseek-v2-lite,2,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,latency,27,32,186555,3432,45550571.056082845,4282116623.3334227,4327667194.389505,297000.0
