round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p57_r0_mlp_00,calls,0,0.0,1.3226952426616703,1.3226952426616703,1322695242661.6704
0,p57_r0_mlp_00,calls,1,0.0,1.3227112082849921,1.3227112082849921,1322711208284.9922
0,p57_r0_mlp_00,calls,2,1767.1122488490737,674.819639698927,-1092.2926091501467,-0.6181229346701437
0,p57_r0_mlp_00,calls,3,5031.999230663869,1656.805923755648,-3375.1933069082206,-0.67074599024987
0,p57_r0_mlp_00,calls,4,24606.282118418683,6433.277757014718,-18173.004361403964,-0.7385514103246349
0,p57_r0_mlp_00,calls,5,310558.6082667991,285619.7964173653,-24938.811849433812,-0.08030307705400656
0,p57_r0_mlp_00,calls,6,1551119.6880495693,1390816.4109537355,-160303.2770958338,-0.10334681348633037
0,p57_r0_mlp_00,calls,7,2904284.948131066,3097849.7102336795,193564.7621026137,0.06664799272783974
0,p57_r0_mlp_00,calls,8,1391137.5597245158,1408155.2450127015,17017.68528818572,0.012232927771395733
0,p57_r0_mlp_00,calls,9,345451.4823159769,330395.68315798684,-15055.799157990026,-0.043582962959234944
0,p57_r0_mlp_00,calls,10,4737.760266255596,3625.07080448099,-1112.6894617746066,-0.23485558560226616
0,p57_r0_mlp_00,calls,11,0.0,1.3226767412878897,1.3226767412878897,1322676741287.8896
0,p57_r0_mlp_00,logical_bytes,0,0.0,81426922.93177265,81426922.93177265,8.142692293177265e+19
0,p57_r0_mlp_00,logical_bytes,1,0.0,81419297.01727694,81419297.01727694,8.141929701727694e+19
0,p57_r0_mlp_00,logical_bytes,2,217142753.13857418,169303845.06526923,-47838908.07330495,-0.22031086638555952
0,p57_r0_mlp_00,logical_bytes,3,1680304948.9872465,658080991.801872,-1022223957.1853745,-0.6083562140321549
0,p57_r0_mlp_00,logical_bytes,4,29688525019.17854,7444781854.586236,-22243743164.592304,-0.7492370587701151
0,p57_r0_mlp_00,logical_bytes,5,1086554615181.949,971352935086.0217,-115201680095.92725,-0.10602474876666568
0,p57_r0_mlp_00,logical_bytes,6,19359287150266.773,16197939932314.168,-3161347217952.6055,-0.16329874098225985
0,p57_r0_mlp_00,logical_bytes,7,108272547556364.53,113338254989794.69,5065707433430.156,0.046786628261360985
0,p57_r0_mlp_00,logical_bytes,8,162453449513508.2,167720506974432.5,5267057460924.3125,0.03242194903646137
0,p57_r0_mlp_00,logical_bytes,9,118285301917077.61,111815442226751.5,-6469859690326.109,-0.05469707212534083
0,p57_r0_mlp_00,logical_bytes,10,3794547254511.1694,2765670451718.7285,-1028876802792.4409,-0.2711461299023895
0,p57_r0_mlp_00,logical_bytes,11,0.0,81425427.86103648,81425427.86103648,8.142542786103648e+19
0,p57_r0_mlp_01,calls,0,0.0,0.6282197110300851,0.6282197110300851,628219711030.0851
0,p57_r0_mlp_01,calls,1,0.0,0.6282160956862803,0.6282160956862803,628216095686.2804
0,p57_r0_mlp_01,calls,2,1767.1122488490737,966.454835577445,-800.6574132716287,-0.453088033198287
0,p57_r0_mlp_01,calls,3,5031.999230663869,3604.3397133180933,-1427.6595173457754,-0.28371616367624625
0,p57_r0_mlp_01,calls,4,24606.282118418683,21568.12640519442,-3038.1557132242633,-0.12347073396147462
0,p57_r0_mlp_01,calls,5,310558.6082667991,385647.1831324176,75088.57486561849,0.24178552088664154
0,p57_r0_mlp_01,calls,6,1551119.6880495693,1360538.2154589118,-190581.47259065742,-0.12286703215681638
0,p57_r0_mlp_01,calls,7,2904284.948131066,2961116.1196319098,56831.17150084395,0.019568042570139454
0,p57_r0_mlp_01,calls,8,1391137.5597245158,1435947.0273382422,44809.46761372639,0.03221066622814779
0,p57_r0_mlp_01,calls,9,345451.4823159769,325540.35049167054,-19911.13182430633,-0.0576379979348129
0,p57_r0_mlp_01,calls,10,4737.760266255596,2738.050746368553,-1999.7095198870434,-0.42207908537075006
0,p57_r0_mlp_01,calls,11,0.0,0.6282109462141432,0.6282109462141432,628210946214.1432
0,p57_r0_mlp_01,logical_bytes,0,0.0,38438323.8737283,38438323.8737283,3.84383238737283e+19
0,p57_r0_mlp_01,logical_bytes,1,0.0,38437872.1349702,38437872.1349702,3.8437872134970204e+19
0,p57_r0_mlp_01,logical_bytes,2,217142753.13857418,154740117.77379704,-62402635.36477715,-0.28738069524684345
0,p57_r0_mlp_01,logical_bytes,3,1680304948.9872465,1076957055.2382238,-603347893.7490227,-0.3590704735546203
0,p57_r0_mlp_01,logical_bytes,4,29688525019.17854,18055076039.997337,-11633448979.181202,-0.3918500151713866
0,p57_r0_mlp_01,logical_bytes,5,1086554615181.949,1305557612523.1843,219002997341.23535,0.20155728417256064
0,p57_r0_mlp_01,logical_bytes,6,19359287150266.773,14705422508332.043,-4653864641934.73,-0.24039442185094093
