parallelism,placement_id,topology,curve_kind,phase,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,evidence_set
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb16,216,0.17673636633136164,0.13214261318678505,0.08729137678224153,phase34_open_target_repeated_engineering
pp,pp_l1_single_node_nominal_proxy,L1_single_node_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb4,216,0.062253080648226565,0.045446774035571416,0.007296374530432068,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,deepseek-v2-lite,108,0.18854367291199445,0.04704715055856539,0.01513083315949217,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,llama-3.2-3b-instruct,108,0.1881877796606331,0.047252701279112116,0.01593148990638332,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,mixtral-8x7b-instruct-v0.1,108,0.18764942352555078,0.04741638424150865,0.016476161503200425,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen2.5-14b-instruct,108,0.18701078333329857,0.04755592812848084,0.01690662236614585,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-30b-a3b,108,0.1885440062039605,0.047047175758859375,0.015130908310110939,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,qwen3-8b,108,0.18764917868741338,0.04741639426987666,0.01647619812629696,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,overall,all,648,0.1879308073871418,0.04728959873339496,0.016009794693066216,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb1,216,0.03398022730909026,0.02385021106669578,0.0012127900989141926,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb16,216,0.4345320271429511,0.23456835156817377,0.1627063752117708,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,policy,mb4,216,0.09528016770938409,0.06049569066058697,0.013504067291410803,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,deepseek-v2-lite,108,0.05374217297460721,0.03429517293899525,-0.02216701957281315,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,llama-3.2-3b-instruct,108,0.03572803538612969,0.02026385216253987,-0.010065331861098474,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.024716618675806122,0.014467949544491102,-0.005466666179862756,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen2.5-14b-instruct,108,0.01966255501585172,0.010912143969095489,-0.003368788853962252,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-30b-a3b,108,0.053394389540499985,0.03403421564638422,-0.0221846579066318,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,model,qwen3-8b,108,0.024656617433121777,0.014260943994151266,-0.005664757092738431,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,overall,all,648,0.03531673150433608,0.01869109630907443,-0.009295655565775931,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb1,216,0.009695819544437476,0.0072474878274302055,-0.0031652926477802753,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb16,216,0.04074132617759882,0.019288809417240604,-0.016289449116103305,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,prefill,policy,mb4,216,0.05551304879097194,0.029915668063085397,-0.00891600392880302,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,deepseek-v2-lite,108,0.11438805726704283,0.042438059317880354,0.012352949777744227,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,llama-3.2-3b-instruct,108,0.10359183403658014,0.041435270541551,0.013290332827021354,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,mixtral-8x7b-instruct-v0.1,108,0.09593097376084245,0.04039746513158917,0.01367935460481997,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen2.5-14b-instruct,108,0.0888287304024975,0.03946209693716181,0.01382425529327711,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen3-30b-a3b,108,0.1144504869451381,0.042447632209144194,0.012351705656864902,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,model,qwen3-8b,108,0.0959157243417445,0.040401927888825795,0.013654138126202878,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,overall,all,648,0.10218430112564092,0.04105940350410739,0.013212030464250686,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb1,216,0.03089728138621523,0.022344871183099177,0.0009677401069236436,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb16,216,0.20940970066477782,0.15011072002510722,0.10134012968247792,phase34_open_target_repeated_engineering
pp,pp_l2_same_rack_nominal_proxy,L2_same_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb4,216,0.06624592132592973,0.04792871889871652,0.009652657500347654,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,decode,model,deepseek-v2-lite,108,0.19020037780903062,0.04713989307362538,0.015160278276941972,phase34_open_target_repeated_engineering
