window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,normality_distance,normality_pool_quantile,selection_cluster,selection_cluster_members,selection_distance_to_medoid_mean,role_order_sha256,role,profile_id
burstgpt_1-849905000,burstgpt,burstgpt_1,train,849905000,300,2959,10.316403471203392,0.95,3,7,2.4781821178694186,785440fb43fc416942a430927c6f1079744840e2d84385a4fbd9e3082218e6f0,development_train,phase31_burstgpt_1_005
burstgpt_1-1260605000,burstgpt,burstgpt_1,train,1260605000,300,2380,111.72441472305515,0.95,12,29,52.052553677733925,d31dcb7cc5f19286d69249511e591a24064adf1e17ba843317a3c311ccabbfe0,development_validation,phase31_burstgpt_1_013
burstgpt_1-1545005000,burstgpt,burstgpt_1,train,1545005000,300,144,2.142538381974983,0.95,16,635,49.59869776095838,821c1140cccde0a0f8b239ab47c2007ac8297717684f6d69c3b51aa766da3520,development_train,phase31_burstgpt_1_008
burstgpt_1-1812605000,burstgpt,burstgpt_1,train,1812605000,300,124,5.188700708377998,0.95,6,141,204.73382180565474,7c343261c3b33f4f1f2f60291fd16709b4bbf8491653d057b7549a9fcfdbb79d,development_train,phase31_burstgpt_1_007
burstgpt_1-1906505000,burstgpt,burstgpt_1,train,1906505000,300,68,19.77663605253306,0.95,1,91,103.29912224479175,b31164d0a5ecb2929c32470381c70aa10cce2ed4c02808c6321aa49a798f7f9e,development_train,phase31_burstgpt_1_010
burstgpt_1-1945805000,burstgpt,burstgpt_1,train,1945805000,300,217,8.410633280987478,0.95,15,4,36.75457754100826,db20e7ce3c50afb447f397011e0ff2951c6bd32ddea345b1d85d0c298e8501bb,fixed_prediction,phase31_burstgpt_1_016
burstgpt_1-1947005000,burstgpt,burstgpt_1,train,1947005000,300,122,12.128380559516234,0.95,2,1,0.0,6025ef957cc76cd3c2c467fb2774cef302a55864053e8defd0577671ca3dc861,development_train,phase31_burstgpt_1_003
burstgpt_1-1955705000,burstgpt,burstgpt_1,train,1955705000,300,91,15.666536173455189,0.95,5,155,66.8386872023533,cb1ca38d98132bca0ce8c12c76d33a903b6301501452afd3b01ababcdda6a4d8,development_train,phase31_burstgpt_1_012
burstgpt_1-1980005000,burstgpt,burstgpt_1,train,1980005000,300,64,11.979238906132348,0.95,11,139,128.28849319348433,d9a29995e85061e935460c2b7bf5ccaa75da7a1a2327677d931d78fe7b88c8b3,development_validation,phase31_burstgpt_1_015
burstgpt_1-2237705000,burstgpt,burstgpt_1,train,2237705000,300,144,9.3982704824115,0.95,4,16,59.500899157609346,d7ad2520c2d57f348bb8b97ce8e87843c3a49159a126eebcb56d804082c20df7,development_validation,phase31_burstgpt_1_014
burstgpt_1-2484305000,burstgpt,burstgpt_1,train,2484305000,300,83,32.77490598996777,0.95,0,2119,49.12411228269353,55592369c934bb9a4012d39168f6b4bf8f2de41d8fb14011224b0c44cac5eb20,development_train,phase31_burstgpt_1_002
burstgpt_1-2490905000,burstgpt,burstgpt_1,train,2490905000,300,67,1.422893658662757,0.95,17,174,105.10822774979086,144c6ee4426364a8f6185a601ec5c1119c23e3ed2a0902f992488ed05c8489c5,development_train,phase31_burstgpt_1_001
burstgpt_1-2820305000,burstgpt,burstgpt_1,train,2820305000,300,365,5.160173762801788,0.95,8,7,192.27265615274982,fbe3d78e9baa29452a71f30bb41dc6036a6aa0dfb663a1e7b54a0c85b0055751,fixed_prediction,phase31_burstgpt_1_018
burstgpt_1-3867305000,burstgpt,burstgpt_1,train,3867305000,300,141,3.44605507765512,0.95,14,434,80.91929422543168,e60e10512d3fc9752ebe7c9569de225eaf7a86e51e06074284c9c16e03982177,fixed_prediction,phase31_burstgpt_1_017
burstgpt_1-4918205000,burstgpt,burstgpt_1,train,4918205000,300,32,3.1933923075164743,0.95,9,34,175.85970087083416,7a0c895761167178c6df520a80bcef6df4fddb8fe4356cfa64bdbf6f0d5c479f,development_train,phase31_burstgpt_1_006
burstgpt_1-4981805000,burstgpt,burstgpt_1,train,4981805000,300,121,3.650509553266158,0.95,10,315,60.726633220922736,b53c6c5c60ce21365516197ff31b5c74d363ed25f29025e2b815d219c3375234,development_train,phase31_burstgpt_1_011
burstgpt_1-4995605000,burstgpt,burstgpt_1,train,4995605000,300,292,5.409750499704713,0.95,7,105,96.84809813833475,afb590d3075dbb0ab7bfba4eae0625590b7de45513d7364a9522f2f1f85471a4,development_train,phase31_burstgpt_1_009
burstgpt_1-5073005000,burstgpt,burstgpt_1,train,5073005000,300,509,8.887956151948941,0.95,13,383,34.41270221296993,63e46ebb89d16f1272f90c8074e88f6448b5b157a8005528a00c4323f02cc509,development_train,phase31_burstgpt_1_004
burstgpt_2-5324414000,burstgpt,burstgpt_2,validation,5324414000,300,139,2.3806726136220067,0.95,8,85,177.53261728299526,6e50215a3e05073fb293a407f0c6eed132687bd1a3bd61593075d03811603d2f,development_train,phase31_burstgpt_2_028
burstgpt_2-5432414000,burstgpt,burstgpt_2,validation,5432414000,300,292,3.1473045192757474,0.95,14,39,263.8771043002885,66032edb77f6f75c643b37e7f90bbb21c4f03e9a2ee0415e17f9818ee12c7b36,development_train,phase31_burstgpt_2_025
burstgpt_2-5530814000,burstgpt,burstgpt_2,validation,5530814000,300,492,2.2826347191155936,0.95,11,57,124.930356791071,a9c7263ffd05c39e3fec4486197ca59ad7824d6d6390fcb2f656ebcb909895c0,fixed_prediction,phase31_burstgpt_2_034
burstgpt_2-5533814000,burstgpt,burstgpt_2,validation,5533814000,300,382,1.217634698048596,0.95,7,235,82.28662864413315,4fa6dcf36ef73c06d8d64432f0c1d9b4e405692243979fd31d09bd39d3196ffb,development_train,phase31_burstgpt_2_022
burstgpt_2-6261614000,burstgpt,burstgpt_2,validation,6261614000,300,364,3.713900109285616,0.95,17,12,257.5764013244091,a33b083175a87b394cf56b95e52ed80e9f85067896b066c5a379dd0b2879d00a,development_validation,phase31_burstgpt_2_033
