candidate_id,feature_set,head_mode,learning_rate,calls_total_weight,bytes_total_weight,alpha,score,calls_wape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_wape
tp31e_c01_full_shared_lr0.003_cw4_bw4,full,shared,0.003,4.0,4.0,0.5,4.916926414927374,0.08409195838770364,0.027508875569873675,0.16141295797891178,0.020845493837617947,0.05298392545786888
tp31e_c02_no_arrival_shared_lr0.003_cw8_bw4,no_arrival,shared,0.003,8.0,4.0,0.25,5.141085213133279,0.08953874006942221,0.03010007215244257,0.15691201698634955,0.020043094569598314,0.05772051685506242
tp31e_c03_full_policy_lr0.001_cw8_bw4,full,policy,0.001,8.0,4.0,0.5,4.952791837214607,0.07296641143548228,0.03340380940018737,0.15794143095409321,0.020312815223497042,0.04753587445700343
tp31e_c04_full_model_lr0.001_cw8_bw4,full,model,0.001,8.0,4.0,0.75,4.852802210649752,0.08185542271169996,0.02774224726532637,0.1603530022693533,0.020593744783448796,0.05108104087908582
tp31e_c05_full_model_policy_lr0.001_cw8_bw4,full,model_policy,0.001,8.0,4.0,0.5,4.883299540363719,0.07864279218870897,0.02925868474567432,0.15971475345856362,0.020599735630491806,0.05056870943402118
tp31e_c06_no_arrival_model_policy_lr0.001_cw8_bw4,no_arrival,model_policy,0.001,8.0,4.0,0.5,4.652484818383162,0.08279608323294373,0.024074138578563543,0.15864421524455807,0.020695689568368647,0.04998841990840058
