timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:25:35.933, 0, 0 MiB, 0 %
2026/08/06 10:25:35.934, 1, 0 MiB, 0 %
2026/08/06 10:25:35.934, 2, 0 MiB, 0 %
2026/08/06 10:25:35.935, 3, 0 MiB, 0 %
2026/08/06 10:25:35.936, 4, 0 MiB, 0 %
2026/08/06 10:25:35.937, 5, 0 MiB, 0 %
2026/08/06 10:25:35.937, 6, 0 MiB, 0 %
2026/08/06 10:25:35.938, 7, 0 MiB, 0 %
2026/08/06 10:25:36.939, 0, 0 MiB, 0 %
2026/08/06 10:25:36.939, 1, 0 MiB, 0 %
2026/08/06 10:25:36.939, 2, 0 MiB, 0 %
2026/08/06 10:25:36.939, 3, 0 MiB, 0 %
2026/08/06 10:25:36.939, 4, 0 MiB, 0 %
2026/08/06 10:25:36.939, 5, 0 MiB, 0 %
2026/08/06 10:25:36.939, 6, 0 MiB, 0 %
2026/08/06 10:25:36.939, 7, 0 MiB, 0 %
2026/08/06 10:25:37.939, 0, 0 MiB, 0 %
2026/08/06 10:25:37.939, 1, 0 MiB, 0 %
2026/08/06 10:25:37.939, 2, 0 MiB, 0 %
2026/08/06 10:25:37.939, 3, 0 MiB, 0 %
2026/08/06 10:25:37.939, 4, 0 MiB, 0 %
2026/08/06 10:25:37.939, 5, 0 MiB, 0 %
2026/08/06 10:25:37.939, 6, 0 MiB, 0 %
2026/08/06 10:25:37.939, 7, 0 MiB, 0 %
2026/08/06 10:25:38.939, 0, 4 MiB, 0 %
2026/08/06 10:25:38.943, 1, 4 MiB, 0 %
2026/08/06 10:25:38.944, 2, 4 MiB, 0 %
2026/08/06 10:25:38.945, 3, 4 MiB, 0 %
2026/08/06 10:25:38.945, 4, 1 MiB, 0 %
2026/08/06 10:25:38.946, 5, 1 MiB, 0 %
2026/08/06 10:25:38.992, 6, 1 MiB, 0 %
2026/08/06 10:25:39.004, 7, 1 MiB, 0 %
2026/08/06 10:25:40.005, 0, 4 MiB, 0 %
2026/08/06 10:25:40.011, 1, 4 MiB, 0 %
2026/08/06 10:25:40.012, 2, 4 MiB, 0 %
2026/08/06 10:25:40.012, 3, 4 MiB, 0 %
2026/08/06 10:25:40.013, 4, 4 MiB, 0 %
2026/08/06 10:25:40.013, 5, 4 MiB, 0 %
2026/08/06 10:25:40.050, 6, 1 MiB, 0 %
2026/08/06 10:25:40.061, 7, 1 MiB, 0 %
2026/08/06 10:25:41.072, 0, 4 MiB, 0 %
2026/08/06 10:25:41.073, 1, 4 MiB, 0 %
2026/08/06 10:25:41.084, 2, 4 MiB, 0 %
