case,bin_index,lower_bytes,upper_bytes,gpu_calls_per_1000,teacher_calls_per_1000,calls_absolute_error,gpu_logical_bytes_per_1000,teacher_logical_bytes_per_1000,logical_bytes_absolute_error
multiwave_129,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
multiwave_129,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
multiwave_129,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
multiwave_129,4,524288.0,1763487.5990421579,7.751937984496124,7.751937984496124,0.0,11430697.674418604,11430697.674418604,0.0
multiwave_129,5,1763487.5990421579,5931641.601515722,131.7829457364341,131.7829457364341,0.0,616114604.651163,616114604.651163,0.0
multiwave_129,6,5931641.601515722,19951584.63713749,186.04651162790697,186.04651162790697,0.0,1978653767.441861,1978653767.441861,0.0
multiwave_129,7,19951584.63713749,67108864.0,131.7829457364341,131.7829457364341,0.0,5213541209.302325,5213541209.302325,0.0
multiwave_129,8,67108864.0,225726412.6773962,480.62015503876125,480.62015503876125,0.0,68511029581.39539,68511029581.39539,0.0
multiwave_129,9,225726412.6773962,759250124.9940125,682.170542635662,682.170542635662,0.0,306239821395.3489,306239821395.3489,0.0
multiwave_129,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
multiwave_129,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
real_max_request_count,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
real_max_request_count,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
real_max_request_count,2,46340.95001184158,155871.75497763665,0.6759040216289287,0.6759040216289287,0.0,99666.10341331532,99666.10341331532,0.0
real_max_request_count,3,155871.75497763665,524288.0,1.3518080432578574,1.3518080432578574,0.0,448497.46535991895,448497.46535991895,0.0
real_max_request_count,4,524288.0,1763487.5990421579,2.7036160865157153,2.7036160865157153,0.0,2840483.9472794863,2840483.9472794863,0.0
real_max_request_count,5,1763487.5990421579,5931641.601515722,9.124704291990536,9.124704291990536,0.0,36926291.31463332,36926291.31463332,0.0
real_max_request_count,6,5931641.601515722,19951584.63713749,971.2740790807464,971.2740790807464,0.0,12955198118.283178,12955198118.283178,0.0
real_max_request_count,7,19951584.63713749,67108864.0,4.393376140588037,4.393376140588037,0.0,176110004.7313282,176110004.7313282,0.0
real_max_request_count,8,67108864.0,225726412.6773962,17.23555255153767,17.23555255153767,0.0,2579508255.49172,2579508255.49172,0.0
real_max_request_count,9,225726412.6773962,759250124.9940125,26.360256843528234,26.360256843528234,0.0,9599639748.563702,9599639748.563702,0.0
real_max_request_count,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
real_max_request_count,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,4,524288.0,1763487.5990421579,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,5,1763487.5990421579,5931641.601515722,12.578616352201259,12.578616352201259,0.0,34313660.377358496,34313660.377358496,0.0
real_median_request_count,6,5931641.601515722,19951584.63713749,50.314465408805034,50.314465408805034,0.0,701111547.1698115,701111547.1698115,0.0
real_median_request_count,7,19951584.63713749,67108864.0,509.4339622641512,509.4339622641512,0.0,22150858867.924534,22150858867.924534,0.0
real_median_request_count,8,67108864.0,225726412.6773962,433.9622641509436,433.9622641509436,0.0,57059907622.64149,57059907622.64149,0.0
real_median_request_count,9,225726412.6773962,759250124.9940125,301.8867924528303,301.8867924528303,0.0,113517007698.1132,113517007698.1132,0.0
real_median_request_count,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
real_median_request_count,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,4,524288.0,1763487.5990421579,22.872827081427264,22.872827081427264,0.0,23069511.43641354,23069511.43641354,0.0
real_long_prompt_tail,5,1763487.5990421579,5931641.601515722,9.149130832570906,9.149130832570906,0.0,26712065.87374199,26712065.87374199,0.0
real_long_prompt_tail,6,5931641.601515722,19951584.63713749,36.596523330283624,36.596523330283624,0.0,450057837.1454713,450057837.1454713,0.0
real_long_prompt_tail,7,19951584.63713749,67108864.0,152.79048490393413,152.79048490393413,0.0,6653462953.339436,6653462953.339436,0.0
real_long_prompt_tail,8,67108864.0,225726412.6773962,613.9066788655141,613.9066788655141,0.0,89594832219.57913,89594832219.57913,0.0
real_long_prompt_tail,9,225726412.6773962,759250124.9940125,1490.3934126258032,1490.3934126258032,0.0,717133031407.1338,717133031407.1338,0.0
real_long_prompt_tail,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
real_long_prompt_tail,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
overall,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
overall,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
overall,2,46340.95001184158,155871.75497763665,0.41211621677313004,0.41211621677313004,0.0,60769.00886049867,60769.00886049867,0.0
overall,3,155871.75497763665,524288.0,0.8242324335462601,0.8242324335462601,0.0,273460.539872244,273460.539872244,0.0
overall,4,524288.0,1763487.5990421579,7.212033793529779,7.212033793529779,0.0,7535357.098701835,7535357.098701835,0.0
overall,5,1763487.5990421579,5931641.601515722,26.99361219863995,26.99361219863995,0.0,117891877.18936741,117891877.18936741,0.0
overall,6,5931641.601515722,19951584.63713749,626.0045332783701,626.0045332783701,0.0,8264524436.018987,8264524436.018987,0.0
overall,7,19951584.63713749,67108864.0,70.6779311765918,70.6779311765918,0.0,2999102509.787761,2999102509.787761,0.0
overall,8,67108864.0,225726412.6773962,226.86997733361287,226.86997733361287,0.0,32717821678.9615,32717821678.9615,0.0
overall,9,225726412.6773962,759250124.9940125,452.2975479085219,452.2975479085219,0.0,211813935370.28677,211813935370.28677,0.0
overall,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
overall,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
