case,bin_index,lower_bytes,upper_bytes,gpu_calls_per_1000,teacher_calls_per_1000,calls_absolute_error,gpu_logical_bytes_per_1000,teacher_logical_bytes_per_1000,logical_bytes_absolute_error
boundary_63,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,4,524288.0,1763487.5990421579,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,5,1763487.5990421579,5931641.601515722,142.8571428571429,142.8571428571429,0.0,662381714.2857143,662381714.2857143,0.0
boundary_63,6,5931641.601515722,19951584.63713749,174.6031746031747,174.6031746031747,0.0,1694573714.2857141,1694573714.2857141,0.0
boundary_63,7,19951584.63713749,67108864.0,126.98412698412699,126.98412698412699,0.0,5011163428.571429,5011163428.571429,0.0
boundary_63,8,67108864.0,225726412.6773962,492.06349206349273,492.06349206349273,0.0,70029897142.85713,70029897142.85713,0.0
boundary_63,9,225726412.6773962,759250124.9940125,698.4126984126995,698.4126984126995,0.0,313868288000.0,313868288000.0,0.0
boundary_63,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
boundary_63,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,4,524288.0,1763487.5990421579,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,5,1763487.5990421579,5931641.601515722,156.25,156.25,0.0,725760000.0,725760000.0,0.0
boundary_64,6,5931641.601515722,19951584.63713749,171.875,171.875,0.0,1668096000.0,1668096000.0,0.0
boundary_64,7,19951584.63713749,67108864.0,125.0,125.0,0.0,4932864000.0,4932864000.0,0.0
boundary_64,8,67108864.0,225726412.6773962,484.375,484.375,0.0,68935680000.0,68935680000.0,0.0
boundary_64,9,225726412.6773962,759250124.9940125,687.5,687.5,0.0,308964096000.0,308964096000.0,0.0
boundary_64,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
boundary_64,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,4,524288.0,1763487.5990421579,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,5,1763487.5990421579,5931641.601515722,153.8461538461538,153.8461538461538,0.0,714594461.5384617,714594461.5384617,0.0
boundary_65,6,5931641.601515722,19951584.63713749,184.61538461538453,184.61538461538453,0.0,1787620430.769231,1787620430.769231,0.0
boundary_65,7,19951584.63713749,67108864.0,123.07692307692308,123.07692307692308,0.0,4856973784.615384,4856973784.615384,0.0
boundary_65,8,67108864.0,225726412.6773962,476.92307692307634,476.92307692307634,0.0,67875131076.92305,67875131076.92305,0.0
boundary_65,9,225726412.6773962,759250124.9940125,676.9230769230772,676.9230769230772,0.0,304210802215.3846,304210802215.3846,0.0
boundary_65,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
boundary_65,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
multiwave_129,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
