feature,split_count,gain,gain_fraction
feature_profile_joint_lm_15,340,1928341.3033351393,0.1731417224661289
feature_profile_input_p99_raw,504,1430179.340684381,0.12841280433774444
feature_pd_page_size_tokens,448,1306313.1191723947,0.11729111601894734
feature_model_qk_rope_head_dim,212,907056.2345876505,0.08144267747546777
feature_profile_input_p99_capped,235,857871.3480534477,0.07702646963969496
feature_profile_rps,801,499873.8850279088,0.04488262804923485
feature_profile_joint_lm_11,268,490181.55079670413,0.04401237368056797
feature_model_num_key_value_heads,283,445339.37296002585,0.039986088553372524
feature_model_kv_bytes_per_token,375,422316.95512522425,0.0379189539271742
feature_model_num_hidden_layers,128,367971.11542997893,0.03303935492806094
feature_profile_request_count,357,339792.82132196974,0.030509284981636135
feature_model_num_attention_heads,253,293668.4378599425,0.026367873299745877
feature_model_kv_bytes_per_page,382,234775.95687398198,0.021080040912098894
feature_model_hidden_size,162,232383.99631402778,0.020865271788653147
feature_profile_input_p90_raw,264,153863.00160196642,0.013815036308716796
feature_profile_input_p50_raw,411,122763.6868974165,0.011022694047443268
feature_profile_joint_lm_03,271,117304.50767800026,0.010532525791613116
feature_profile_input_mean_raw,484,94658.18118614907,0.008499159618546201
feature_profile_input_mean_capped,486,82194.64507936192,0.0073800848438599735
feature_profile_input_p90_capped,151,73926.03952395462,0.0066376640878557614
feature_profile_lm_correlation_capped,131,68614.1719738912,0.00616072263794788
feature_profile_input_p50_capped,210,61280.25814007187,0.0055022258918534656
feature_profile_rolling_multichunk_fraction_max_4,149,58672.238063162775,0.005268057237393126
feature_model_kv_lora_rank,12,50697.33176915164,0.0045520071222693494
feature_profile_peak_to_mean_1s,180,47121.22824412787,0.004230916284786935
feature_profile_rolling_multichunk_fraction_max_32,91,38098.72383813378,0.003420804531691039
feature_profile_rolling_multichunk_fraction_max_16,46,30066.363971480416,0.002699595780742834
feature_profile_joint_lm_12,60,25445.96682677316,0.002284740008723329
feature_profile_joint_lm_01,117,25242.818432637294,0.0022664997403558577
feature_profile_output_mean_raw,40,23465.18143121203,0.00210688944117595
feature_profile_joint_lm_06,109,20794.966647771707,0.0018671364544200428
feature_profile_joint_lm_04,87,20662.1548857543,0.0018552115647754114
feature_profile_joint_lm_02,114,20562.610585344224,0.0018462736907564933
feature_profile_joint_lm_07,118,19240.015867682618,0.0017275206841468873
feature_profile_joint_lm_00,100,18844.692188932546,0.0016920253999085358
feature_profile_interarrival_cv,94,17582.848315358617,0.001578727084213043
feature_profile_output_p99_raw,111,15358.232191533394,0.00137898346681562
feature_profile_joint_lm_09,31,13065.670330305973,0.0011731391441189322
feature_profile_survival_m_gt_64,916,12913.934112614092,0.0011595150672782664
feature_profile_joint_lm_05,101,12871.475503517026,0.0011557027977905632
feature_profile_output_p90_raw,52,12760.706167809316,0.0011457570513878433
feature_profile_chunk_output_bucket_joint_04,38,12509.48746214672,0.0011232006505375869
feature_profile_fano_1s,94,10457.240407508929,0.0009389336904556393
feature_profile_chunk_output_work_mean,54,9538.845663536142,0.0008564729519959746
feature_profile_output_p99_capped,16,7303.163552338344,0.0006557357427944647
feature_profile_chunk_output_bucket_joint_03,65,6707.3247692325285,0.0006022366277567709
feature_profile_joint_lm_10,26,6397.9471008675355,0.000574458255587578
feature_profile_output_mean_capped,45,5742.078388746205,0.0005155691790885551
feature_profile_survival_m_gt_32,426,5439.24324987621,0.0004883782469249725
feature_profile_chunk_output_bucket_joint_02,47,5225.022954035927,0.00046914385571795894
feature_profile_multichunk_transition_rate,17,4550.003688773616,0.00040853529120544275
feature_profile_chunk_class_transition_01,17,3925.378717530797,0.00035245152469103437
feature_profile_joint_lm_08,30,3736.3661536399018,0.00033548048288261175
feature_profile_chunk_output_bucket_joint_00,39,3620.2035297586353,0.0003250504844429154
feature_profile_chunk_class_transition_02,16,3495.557854314799,0.00031385881058986143
feature_profile_joint_lm_14,47,3391.0315803165813,0.0003044736156081862
feature_profile_chunk_count_p90,58,3015.258700439832,0.0002707337566084381
feature_profile_chunk_class_transition_00,21,2996.108469886386,0.0002690142975594033
feature_profile_survival_m_gt_8,1130,2774.449380705252,0.00024911199269526035
feature_profile_multichunk_run_length_p90,11,2535.709303446398,0.0002276760217253896
feature_profile_chunk_output_work_p99,30,2525.3542734255225,0.0002267462652912449
feature_profile_chunk_count_p99,25,2329.7505378568476,0.00020918341599760842
feature_profile_output_p50_raw,29,2314.3662822452366,0.00020780209594246744
feature_profile_survival_m_gt_16,220,1929.4453813403106,0.0001732408553152888
feature_profile_chunk_class_transition_03,67,1887.7076791135842,0.00016949331454394547
feature_profile_chunk_output_bucket_joint_01,16,1828.2610352067634,0.00016415572502954988
feature_profile_chunk_output_work_p90,21,1632.6581685187314,0.00014659295375088455
feature_profile_chunk_output_bucket_joint_06,19,954.9296615989637,8.574113211042234e-05
feature_model_is_mla,1,756.9044986707422,6.796086793118786e-05
feature_profile_multichunk_run_length_max,8,657.4094017942264,5.9027411794382626e-05
feature_profile_output_p90_capped,8,648.1821405354028,5.819891535278563e-05
feature_profile_input_multichunk_fraction,8,572.8360023053609,5.143374357963649e-05
feature_profile_joint_lm_13,7,467.1278992526756,4.194243464510599e-05
feature_profile_chunk_output_bucket_joint_09,10,416.5984246043345,3.740549906176758e-05
feature_profile_output_p50_capped,8,341.60178573843285,3.067170810372798e-05
feature_profile_chunk_count_mean,2,243.2421265651653,2.184020053762098e-05
feature_profile_survival_m_gt_1,35,204.30007406742203,1.834367529379392e-05
feature_profile_multichunk_run_length_mean,11,99.73903064680434,8.955358438582607e-06
feature_profile_chunk_output_bucket_joint_07,1,32.65024830000423,2.9315973369611716e-06
feature_profile_chunk_output_bucket_joint_08,2,17.16837016926664,1.5415119605133045e-06
