method,kind,bin,predicted_sum,target_sum,absolute_error_sum,wape
h0,calls,0,0.0,0.0,0.0,0.0
h0,calls,1,0.0,0.0,0.0,0.0
h0,calls,2,500.0,506.1370177688561,998.6603822548374,1.973102830251606
h0,calls,3,750.0,1449.1889937973715,2162.1238307256126,1.4919543551459824
h0,calls,4,5750.0,8256.260056132724,11962.052006999054,1.4488463209336144
h0,calls,5,102468.75,90323.59250613317,67997.0379603763,0.7528159152411831
h0,calls,6,403156.25,462329.1915872273,156462.86169709306,0.3384230642238677
h0,calls,7,960468.75,917106.6277494831,168890.2760358109,0.18415555064764508
h0,calls,8,450375.0,450320.2433343342,92091.92207438838,0.20450318065318676
h0,calls,9,123968.75,132669.892855159,29850.886806067858,0.22500121288751818
h0,calls,10,500.0,809.6135332871354,745.5262316998338,0.9208421068171886
h0,calls,11,0.0,0.0,0.0,0.0
h0,logical_bytes,0,0.0,0.0,0.0,0.0
h0,logical_bytes,1,0.0,0.0,0.0,0.0
h0,logical_bytes,2,61440000.0,62194116.74343704,122715387.77147442,1.973102830251606
h0,logical_bytes,3,251904000.0,490602851.2980448,729760580.5501914,1.4874772509360255
h0,logical_bytes,4,6546944000.0,9955995883.924717,13996482583.89525,1.4058345088806674
h0,logical_bytes,5,392980736000.0,317036680201.1528,328228854596.2977,1.0353024589711315
h0,logical_bytes,6,4399724544000.0,5739257273280.766,2708378312519.224,0.47190397355562663
h0,logical_bytes,7,34246181376000.0,34022329791886.64,7858045316486.132,0.23096729014601616
h0,logical_bytes,8,54320697856000.0,52757295242110.016,11447961144321.7,0.21699295029787885
h0,logical_bytes,9,44774462464000.0,45540221050226.164,8541754985967.4,0.18756507520125398
h0,logical_bytes,10,389584896000.0,642805191752.7609,587267898343.237,0.9136016726030352
h0,logical_bytes,11,0.0,0.0,0.0,0.0
h0_plus_dnn_residual,calls,0,0.30895688697152424,0.0,0.30895688697152424,308956886971.52423
h0_plus_dnn_residual,calls,1,0.30895688684128,0.0,0.30895688684128,308956886841.27997
h0_plus_dnn_residual,calls,2,199.76400292005954,506.1370177688561,698.36315053861,1.3797907009788013
h0_plus_dnn_residual,calls,3,223.87362232136329,1449.1889937973715,1635.7357187361454,1.1287249114761475
h0_plus_dnn_residual,calls,4,2131.3764722354717,8256.260056132724,8957.973525432131,1.0849916868568326
h0_plus_dnn_residual,calls,5,81304.60920135437,90323.59250613317,50291.26153908871,0.5567898723212744
h0_plus_dnn_residual,calls,6,424143.5736109172,462329.1915872273,133784.22684053244,0.2893700620141168
h0_plus_dnn_residual,calls,7,970782.3178427862,917106.6277494831,159344.87816241887,0.17374738480894014
h0_plus_dnn_residual,calls,8,452792.80055317574,450320.2433343342,88799.05051381221,0.19719089210005722
h0_plus_dnn_residual,calls,9,128120.00820927575,132669.892855159,29769.556506010173,0.22438818533237817
h0_plus_dnn_residual,calls,10,538.6785254026486,809.6135332871354,755.7930297303614,0.93352321651757
h0_plus_dnn_residual,calls,11,0.30895688713865466,0.0,0.30895688713865466,308956887138.65466
h0_plus_dnn_residual,logical_bytes,0,19892120.288966767,0.0,19892120.288966767,1.9892120288966767e+19
h0_plus_dnn_residual,logical_bytes,1,19892120.31000996,0.0,19892120.31000996,1.9892120310009962e+19
h0_plus_dnn_residual,logical_bytes,2,46026057.2186005,62194116.74343704,104377222.83772136,1.678249138391947
h0_plus_dnn_residual,logical_bytes,3,94768767.65423143,490602851.2980448,560838562.1916423,1.1431620519688517
h0_plus_dnn_residual,logical_bytes,4,2434827166.4292116,9955995883.924717,10764312888.003319,1.0811889652730509
h0_plus_dnn_residual,logical_bytes,5,293123880148.3914,317036680201.1528,219130693860.58167,0.6911840412962565
h0_plus_dnn_residual,logical_bytes,6,5039015472435.808,5739257273280.766,2399577027287.187,0.4180988781350627
h0_plus_dnn_residual,logical_bytes,7,35479711200170.94,34022329791886.64,6983415720366.181,0.2052597738921315
h0_plus_dnn_residual,logical_bytes,8,53700750489389.51,52757295242110.016,10320318018901.984,0.1956187854502532
h0_plus_dnn_residual,logical_bytes,9,44178100239822.14,45540221050226.164,7690364663050.607,0.16886972627051874
h0_plus_dnn_residual,logical_bytes,10,407986234789.9283,642805191752.7609,588576495140.4504,0.9156374321364098
h0_plus_dnn_residual,logical_bytes,11,19892120.23568053,0.0,19892120.23568053,1.989212023568053e+19
direct_gbdt,calls,0,0.2793346157156166,0.0,0.2793346157156166,279334615715.6166
direct_gbdt,calls,1,0.2793346157156166,0.0,0.2793346157156166,279334615715.6166
direct_gbdt,calls,2,1.5522547423704502,506.1370177688561,507.1126158444879,1.00192753748764
direct_gbdt,calls,3,34.294752491705715,1449.1889937973715,1434.492657070415,0.989858923308238
direct_gbdt,calls,4,1433.6057225411553,8256.260056132724,7301.43519617006,0.88435140687539
direct_gbdt,calls,5,76151.8233054752,90323.59250613317,44555.108259386674,0.4932831724597456
direct_gbdt,calls,6,479072.1122807227,462329.1915872273,139438.80414559977,0.3016006920672496
direct_gbdt,calls,7,998825.9623258336,917106.6277494831,225981.375759659,0.24640687235485564
direct_gbdt,calls,8,413289.860073683,450320.2433343342,159454.23377062264,0.354090752372058
direct_gbdt,calls,9,93918.72214920979,132669.892855159,55975.55373396291,0.42191602427141206
direct_gbdt,calls,10,48.53004152498583,809.6135332871354,762.6977278990664,0.9420516043036179
direct_gbdt,calls,11,0.2793346157156166,0.0,0.2793346157156166,279334615715.6166
direct_gbdt,logical_bytes,0,3848.4619593570033,0.0,3848.4619593570033,3848461959357003.5
direct_gbdt,logical_bytes,1,12944.631463454365,0.0,12944.631463454365,1.2944631463454366e+16
direct_gbdt,logical_bytes,2,241952.6708656413,62194116.74343704,62346184.92763858,1.002445057381052
direct_gbdt,logical_bytes,3,17924406.339166287,490602851.2980448,483154052.88981616,0.9848170503116309
direct_gbdt,logical_bytes,4,2102045123.7056527,9955995883.924717,8779147237.553955,0.8817949846412712
direct_gbdt,logical_bytes,5,294621761469.97314,317036680201.1528,188396791558.48383,0.5942428852047978
direct_gbdt,logical_bytes,6,6366931846242.676,5739257273280.766,2606365438206.539,0.45412939586112105
direct_gbdt,logical_bytes,7,40589529592391.88,34022329791886.64,11929833176848.887,0.3506471558480341
direct_gbdt,logical_bytes,8,53679558892306.86,52757295242110.016,20085246804658.99,0.3807103209610198
direct_gbdt,logical_bytes,9,28758851501452.344,45540221050226.164,19560969412206.96,0.42953171857978534
direct_gbdt,logical_bytes,10,39325759338.513504,642805191752.7609,604706775981.18,0.9407310079937338
