round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p58_r0_mlp_0,calls,0,0.0,1.3222462638238808,1.3222462638238808,1322246263823.8809
0,p58_r0_mlp_0,calls,1,0.0,1.322229586169403,1.322229586169403,1322229586169.4028
0,p58_r0_mlp_0,calls,2,1767.1122488490737,664.2588375956886,-1102.853411253385,-0.6240992398596509
0,p58_r0_mlp_0,calls,3,5031.999230663869,1660.176974960927,-3371.8222557029417,-0.6700760674118981
0,p58_r0_mlp_0,calls,4,24606.282118418683,6654.481674247736,-17951.80044417095,-0.7295616768830503
0,p58_r0_mlp_0,calls,5,310558.6082667991,285213.3295733582,-25345.278693440952,-0.08161190196881282
0,p58_r0_mlp_0,calls,6,1551119.6880495693,1389475.0836043342,-161644.6044452351,-0.10421156129382417
0,p58_r0_mlp_0,calls,7,2904284.948131066,3099843.3470925563,195558.3989614905,0.06733443944174076
0,p58_r0_mlp_0,calls,8,1391137.5597245158,1408324.0955696038,17186.535845088074,0.01235430365958309
0,p58_r0_mlp_0,calls,9,345451.4823159769,329532.83300031413,-15918.64931566274,-0.046080709247333033
0,p58_r0_mlp_0,calls,10,4737.760266255596,3823.287531508236,-914.4727347473604,-0.19301794167607755
0,p58_r0_mlp_0,calls,11,0.0,1.322256234525296,1.322256234525296,1322256234525.296
0,p58_r0_mlp_0,logical_bytes,0,0.0,81478173.13526028,81478173.13526028,8.147817313526029e+19
0,p58_r0_mlp_0,logical_bytes,1,0.0,81473149.91853203,81473149.91853203,8.147314991853203e+19
0,p58_r0_mlp_0,logical_bytes,2,217142753.13857418,168152254.03491598,-48990499.1036582,-0.22561424867075297
0,p58_r0_mlp_0,logical_bytes,3,1680304948.9872465,666832255.9063973,-1013472693.0808492,-0.6031480736229989
0,p58_r0_mlp_0,logical_bytes,4,29688525019.17854,7788262256.763403,-21900262762.41514,-0.7376675920500514
0,p58_r0_mlp_0,logical_bytes,5,1086554615181.949,969503118072.9801,-117051497108.96887,-0.10772720991053727
0,p58_r0_mlp_0,logical_bytes,6,19359287150266.773,16172747377375.305,-3186539772891.4688,-0.16460005723131999
0,p58_r0_mlp_0,logical_bytes,7,108272547556364.53,113450140197843.8,5177592641479.266,0.04781999461852428
0,p58_r0_mlp_0,logical_bytes,8,162453449513508.2,167757698842607.44,5304249329099.25,0.032650887654178104
0,p58_r0_mlp_0,logical_bytes,9,118285301917077.61,111425293164531.47,-6860008752546.141,-0.05799544526128243
0,p58_r0_mlp_0,logical_bytes,10,3794547254511.1694,2982905663309.247,-811641591201.9224,-0.21389682003221797
0,p58_r0_mlp_0,logical_bytes,11,0.0,81473290.86685209,81473290.86685209,8.147329086685209e+19
0,p58_r0_mlp_1,calls,0,0.0,0.6280185651006953,0.6280185651006953,628018565100.6953
0,p58_r0_mlp_1,calls,1,0.0,0.6280186122057041,0.6280186122057041,628018612205.7041
0,p58_r0_mlp_1,calls,2,1767.1122488490737,955.7070465712532,-811.4052022778205,-0.4591701533427158
0,p58_r0_mlp_1,calls,3,5031.999230663869,3597.361025735006,-1434.6382049288627,-0.28510302549064415
0,p58_r0_mlp_1,calls,4,24606.282118418683,21504.158188218717,-3102.1239301999667,-0.12607040410537745
0,p58_r0_mlp_1,calls,5,310558.6082667991,385281.24806697015,74722.63980017102,0.24060720846603365
0,p58_r0_mlp_1,calls,6,1551119.6880495693,1359673.5784063446,-191446.10964322463,-0.12342445983904407
0,p58_r0_mlp_1,calls,7,2904284.948131066,2961281.861842069,56996.91371100303,0.019625110734289714
0,p58_r0_mlp_1,calls,8,1391137.5597245158,1436595.6172681474,45458.05754363164,0.03267689613141753
0,p58_r0_mlp_1,calls,9,345451.4823159769,325993.59478392074,-19457.887532056135,-0.056325963349777824
0,p58_r0_mlp_1,calls,10,4737.760266255596,2760.4297552603894,-1977.330510995207,-0.4173555435209799
0,p58_r0_mlp_1,calls,11,0.0,0.6280183484245752,0.6280183484245752,628018348424.5752
0,p58_r0_mlp_1,logical_bytes,0,0.0,38422058.25631962,38422058.25631962,3.842205825631962e+19
0,p58_r0_mlp_1,logical_bytes,1,0.0,38422043.87320839,38422043.87320839,3.8422043873208386e+19
