slice_type,slice_value,points,phase51_wape,corrected_wape,phase51_signed_bias,corrected_signed_bias
configuration,P1D2,60,0.2984388327131918,0.028291912085831105,-0.2800254497279287,0.0075462675001210745
configuration,P2D1,60,0.2964319036842989,0.029939002861958938,-0.2822590511515332,0.004420522601797598
configuration_topology,P1D2/L1,20,0.2973180189676613,0.029210276612466887,-0.2774779336287024,0.011726489666306558
configuration_topology,P1D2/L2,20,0.2987563298587879,0.027945803970805577,-0.28201638265512724,0.0042580230009734155
configuration_topology,P1D2/L3,20,0.29923579894328134,0.02772472362419618,-0.2805695979529059,0.006674660776463225
configuration_topology,P2D1/L1,20,0.2988672663560795,0.030810587061265327,-0.28167128270190606,0.005854665766055411
configuration_topology,P2D1/L2,20,0.2963998921943964,0.02956873817283656,-0.28360049856174324,0.0020422884491662
configuration_topology,P2D1/L3,20,0.29403245262135963,0.02943883926688042,-0.2815053225848717,0.0053653329057143035
model,deepseek-v2-lite,60,0.30155191867125664,0.04257223718366007,-0.29589156836971897,-0.0017279870168209804
model,qwen3-8b,60,0.29544523164920744,0.022619263560803706,-0.27402258344803443,0.009703513355271098
overall,all,120,0.29743380923957063,0.029116736914891736,-0.2811439854753908,0.005980967008603662
topology,L1,40,0.29809489707127007,0.03001276055140524,-0.2795807101769244,0.008782033248013564
topology,L2,40,0.2975768098155216,0.028758167246577714,-0.2828093153479566,0.0031489322094335756
topology,L3,40,0.29663243275276296,0.0285823391728677,-0.2810377647286271,0.006019570820860911
