model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P1D2,L2,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p1d2__l2__r0,294912,4718592,5,152.7835,60.601,145.723,145.723,0.011223870079207948
qwen3-8b,P1D2,L2,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p1d2__l2__r1,294912,4718592,5,151.8995,64.42750000000001,146.514,146.514,0.006673985034717629
qwen3-8b,P1D2,L2,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p1d2__l2__r0,1179648,18874368,5,487.22249999999997,73.61500000000001,478.98,478.98,0.010914303533167566
qwen3-8b,P1D2,L2,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p1d2__l2__r1,1179648,18874368,5,487.0165,73.9675,480.7635,480.7635,0.0025836451021097775
qwen3-8b,P1D2,L2,qwen3-8b__res_08__p32_p512,0,qwen3-8b__p1d2__l2__r0,4718592,75497472,5,1798.436,154.8025,1794.6505000000002,1794.6505000000002,0.0046087810966757205
qwen3-8b,P1D2,L2,qwen3-8b__res_08__p32_p512,1,qwen3-8b__p1d2__l2__r1,4718592,75497472,5,1804.0515,154.7305,1798.4479999999999,1798.4479999999999,0.01294350587642978
qwen3-8b,P1D2,L2,qwen3-8b__res_09__p128_p2048,0,qwen3-8b__p1d2__l2__r0,18874368,301989888,5,7124.263,496.191,7149.868,7149.868,0.0083258789879427
qwen3-8b,P1D2,L2,qwen3-8b__res_09__p128_p2048,1,qwen3-8b__p1d2__l2__r1,18874368,301989888,5,7101.829,498.737,7148.626,7148.626,0.006896389543297927
qwen3-8b,P1D2,L3,qwen3-8b__res_00__p2_p2,0,qwen3-8b__p1d2__l3__r0,294912,294912,5,80.007,70.814,71.759,71.759,0.014461204506365791
qwen3-8b,P1D2,L3,qwen3-8b__res_00__p2_p2,1,qwen3-8b__p1d2__l3__r1,294912,294912,5,78.74700000000001,69.738,70.6625,70.6625,0.01262264603523502
qwen3-8b,P1D2,L3,qwen3-8b__res_01__p8_p8,0,qwen3-8b__p1d2__l3__r0,1179648,1179648,5,92.0775,83.049,83.531,83.531,0.011539827507314037
qwen3-8b,P1D2,L3,qwen3-8b__res_01__p8_p8,1,qwen3-8b__p1d2__l3__r1,1179648,1179648,5,91.33500000000001,83.2185,82.31700000000001,83.2185,0.0070288385299327
qwen3-8b,P1D2,L3,qwen3-8b__res_02__p32_p32,0,qwen3-8b__p1d2__l3__r0,4718592,4718592,5,230.4315,153.769,154.36450000000002,154.36450000000002,0.006690242607514775
qwen3-8b,P1D2,L3,qwen3-8b__res_02__p32_p32,1,qwen3-8b__p1d2__l3__r1,4718592,4718592,5,229.6275,153.4105,154.267,154.267,0.005908327181218149
qwen3-8b,P1D2,L3,qwen3-8b__res_03__p128_p128,0,qwen3-8b__p1d2__l3__r0,18874368,18874368,5,878.1669999999999,500.1415,495.16600000000005,500.1415,0.009387773760543663
qwen3-8b,P1D2,L3,qwen3-8b__res_03__p128_p128,1,qwen3-8b__p1d2__l3__r1,18874368,18874368,5,878.2305,500.27700000000004,490.7815,500.27700000000004,0.014647572091691432
qwen3-8b,P1D2,L3,qwen3-8b__res_04__p512_p512,0,qwen3-8b__p1d2__l3__r0,75497472,75497472,5,3321.582,1837.705,1804.278,1837.705,0.002742853237856228
qwen3-8b,P1D2,L3,qwen3-8b__res_04__p512_p512,1,qwen3-8b__p1d2__l3__r1,75497472,75497472,5,3323.582,1853.513,1806.962,1853.513,0.0013308085960834423
qwen3-8b,P1D2,L3,qwen3-8b__res_05__p2048_p2048,0,qwen3-8b__p1d2__l3__r0,301989888,301989888,5,13276.558,7330.511,7113.613,7330.511,0.0015681701072291624
qwen3-8b,P1D2,L3,qwen3-8b__res_05__p2048_p2048,1,qwen3-8b__p1d2__l3__r1,301989888,301989888,5,13199.287,7318.227,7157.339,7318.227,0.0032787302215953247
qwen3-8b,P1D2,L3,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p1d2__l3__r0,294912,4718592,5,151.375,64.10849999999999,146.602,146.602,0.0025996458911846823
qwen3-8b,P1D2,L3,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p1d2__l3__r1,294912,4718592,5,152.317,63.801500000000004,146.2765,146.2765,0.019819218517665566
qwen3-8b,P1D2,L3,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p1d2__l3__r0,1179648,18874368,5,486.0335,76.7025,479.7455,479.7455,0.0024966932980333015
qwen3-8b,P1D2,L3,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p1d2__l3__r1,1179648,18874368,5,487.23749999999995,76.241,480.115,480.115,0.003089413895362959
qwen3-8b,P1D2,L3,qwen3-8b__res_08__p32_p512,0,qwen3-8b__p1d2__l3__r0,4718592,75497472,5,1801.5735,156.68900000000002,1799.083,1799.083,0.0035863426441152865
qwen3-8b,P1D2,L3,qwen3-8b__res_08__p32_p512,1,qwen3-8b__p1d2__l3__r1,4718592,75497472,5,1797.0695,156.2465,1792.739,1792.739,0.0011112521916578175
qwen3-8b,P1D2,L3,qwen3-8b__res_09__p128_p2048,0,qwen3-8b__p1d2__l3__r0,18874368,301989888,5,7122.484,499.838,7154.961,7154.961,0.002183648045128814
qwen3-8b,P1D2,L3,qwen3-8b__res_09__p128_p2048,1,qwen3-8b__p1d2__l3__r1,18874368,301989888,5,7130.018,499.249,7076.237,7076.237,0.007666395692138823
qwen3-8b,P2D1,L1,qwen3-8b__res_00__p2_p2,0,qwen3-8b__p2d1__l1__r0,294912,294912,5,64.8125,65.26650000000001,63.352000000000004,65.26650000000001,0.11810311330930576
qwen3-8b,P2D1,L1,qwen3-8b__res_00__p2_p2,1,qwen3-8b__p2d1__l1__r1,294912,294912,5,78.076,79.1065,74.55199999999999,79.1065,0.14080667082245263
qwen3-8b,P2D1,L1,qwen3-8b__res_01__p8_p8,0,qwen3-8b__p2d1__l1__r0,1179648,1179648,5,94.624,74.751,76.155,76.155,0.06699015017603074
qwen3-8b,P2D1,L1,qwen3-8b__res_01__p8_p8,1,qwen3-8b__p2d1__l1__r1,1179648,1179648,5,101.03399999999999,92.36099999999999,83.57650000000001,92.36099999999999,0.08103996282707775
qwen3-8b,P2D1,L1,qwen3-8b__res_02__p32_p32,0,qwen3-8b__p2d1__l1__r0,4718592,4718592,5,238.5575,146.4335,149.0315,149.0315,0.018440249912059187
qwen3-8b,P2D1,L1,qwen3-8b__res_02__p32_p32,1,qwen3-8b__p2d1__l1__r1,4718592,4718592,5,247.4065,158.4155,155.9265,158.4155,0.04714160579180398
qwen3-8b,P2D1,L1,qwen3-8b__res_03__p128_p128,0,qwen3-8b__p2d1__l1__r0,18874368,18874368,5,854.318,475.19100000000003,475.8515,475.8515,0.009207811144476646
qwen3-8b,P2D1,L1,qwen3-8b__res_03__p128_p128,1,qwen3-8b__p2d1__l1__r1,18874368,18874368,5,873.722,508.122,490.9085,508.122,0.00901935086417692
qwen3-8b,P2D1,L1,qwen3-8b__res_04__p512_p512,0,qwen3-8b__p2d1__l1__r0,75497472,75497472,5,3298.862,1771.882,1768.371,1771.882,0.006348748928011867
qwen3-8b,P2D1,L1,qwen3-8b__res_04__p512_p512,1,qwen3-8b__p2d1__l1__r1,75497472,75497472,5,3335.182,1865.427,1811.505,1865.427,0.005569345769469178
qwen3-8b,P2D1,L1,qwen3-8b__res_05__p2048_p2048,0,qwen3-8b__p2d1__l1__r0,301989888,301989888,5,13102.426,6971.977,6998.827,6998.827,0.009577786448685741
qwen3-8b,P2D1,L1,qwen3-8b__res_05__p2048_p2048,1,qwen3-8b__p2d1__l1__r1,301989888,301989888,5,13213.73,7328.194,7262.819,7328.194,0.010747229606969921
qwen3-8b,P2D1,L1,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p2d1__l1__r0,294912,4718592,5,146.6375,56.311,144.3385,144.3385,0.02109676630957628
qwen3-8b,P2D1,L1,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p2d1__l1__r1,294912,4718592,5,151.56,70.477,146.59699999999998,146.59699999999998,0.021893947705741993
qwen3-8b,P2D1,L1,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p2d1__l1__r0,1179648,18874368,5,470.446,69.7695,471.65049999999997,471.65049999999997,0.014909735753387759
qwen3-8b,P2D1,L1,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p2d1__l1__r1,1179648,18874368,5,481.029,85.29050000000001,479.851,479.851,0.0129475764939722
qwen3-8b,P2D1,L1,qwen3-8b__res_08__p32_p512,0,qwen3-8b__p2d1__l1__r0,4718592,75497472,5,1772.4560000000001,142.95,1767.259,1767.259,0.013871071643227938
qwen3-8b,P2D1,L1,qwen3-8b__res_08__p32_p512,1,qwen3-8b__p2d1__l1__r1,4718592,75497472,5,1792.4885,158.209,1796.194,1796.194,0.013799448265937944
qwen3-8b,P2D1,L1,qwen3-8b__res_09__p128_p2048,0,qwen3-8b__p2d1__l1__r0,18874368,301989888,5,7036.398,467.832,6995.177,6995.177,0.029921852737675444
qwen3-8b,P2D1,L1,qwen3-8b__res_09__p128_p2048,1,qwen3-8b__p2d1__l1__r1,18874368,301989888,5,7182.593,499.683,7284.285,7284.285,0.023908447195641915
qwen3-8b,P2D1,L2,qwen3-8b__res_00__p2_p2,0,qwen3-8b__p2d1__l2__r0,294912,294912,9,68.8605,70.9045,61.863,70.9045,0.10157643103962648
qwen3-8b,P2D1,L2,qwen3-8b__res_00__p2_p2,1,qwen3-8b__p2d1__l2__r1,294912,294912,9,72.20949999999999,72.3815,72.975,72.975,0.1059350582740048
qwen3-8b,P2D1,L2,qwen3-8b__res_01__p8_p8,0,qwen3-8b__p2d1__l2__r0,1179648,1179648,9,86.621,82.503,75.5855,82.503,0.09402942417122324
qwen3-8b,P2D1,L2,qwen3-8b__res_01__p8_p8,1,qwen3-8b__p2d1__l2__r1,1179648,1179648,9,89.94550000000001,82.4825,84.96799999999999,84.96799999999999,0.07227007954076207
qwen3-8b,P2D1,L2,qwen3-8b__res_02__p32_p32,0,qwen3-8b__p2d1__l2__r0,4718592,4718592,9,202.97899999999998,152.874,147.221,152.874,0.17787857370109475
qwen3-8b,P2D1,L2,qwen3-8b__res_02__p32_p32,1,qwen3-8b__p2d1__l2__r1,4718592,4718592,9,191.99599999999998,152.6635,156.627,156.627,0.17714848959124263
qwen3-8b,P2D1,L2,qwen3-8b__res_03__p128_p128,0,qwen3-8b__p2d1__l2__r0,18874368,18874368,9,873.6700000000001,501.337,474.777,501.337,0.012451973455643516
qwen3-8b,P2D1,L2,qwen3-8b__res_03__p128_p128,1,qwen3-8b__p2d1__l2__r1,18874368,18874368,9,874.0260000000001,497.769,495.67,497.769,0.014320793242346131
qwen3-8b,P2D1,L2,qwen3-8b__res_04__p512_p512,0,qwen3-8b__p2d1__l2__r0,75497472,75497472,9,3338.93,1817.905,1774.139,1817.905,0.011093916315601915
qwen3-8b,P2D1,L2,qwen3-8b__res_04__p512_p512,1,qwen3-8b__p2d1__l2__r1,75497472,75497472,9,3335.365,1841.227,1817.063,1841.227,0.011633872687551304
qwen3-8b,P2D1,L2,qwen3-8b__res_05__p2048_p2048,0,qwen3-8b__p2d1__l2__r0,301989888,301989888,9,13256.027,7293.353,7011.642,7293.353,0.010099801108296542
qwen3-8b,P2D1,L2,qwen3-8b__res_05__p2048_p2048,1,qwen3-8b__p2d1__l2__r1,301989888,301989888,9,13362.782,7305.06,7270.763,7305.06,0.01308830156219837
qwen3-8b,P2D1,L2,qwen3-8b__res_06__p2_p32,0,qwen3-8b__p2d1__l2__r0,294912,4718592,9,147.60899999999998,63.022999999999996,142.2045,142.2045,0.02601400181739558
qwen3-8b,P2D1,L2,qwen3-8b__res_06__p2_p32,1,qwen3-8b__p2d1__l2__r1,294912,4718592,9,150.166,61.1085,147.027,147.027,0.04342793363970336
qwen3-8b,P2D1,L2,qwen3-8b__res_07__p8_p128,0,qwen3-8b__p2d1__l2__r0,1179648,18874368,9,474.30150000000003,76.0635,469.44500000000005,469.44500000000005,0.025779602460678227
qwen3-8b,P2D1,L2,qwen3-8b__res_07__p8_p128,1,qwen3-8b__p2d1__l2__r1,1179648,18874368,9,482.199,76.7815,481.6645,481.6645,0.0216393116784263
qwen3-8b,P2D1,L2,qwen3-8b__res_08__p32_p512,0,qwen3-8b__p2d1__l2__r0,4718592,75497472,9,1794.2105000000001,155.5965,1761.8854999999999,1761.8854999999999,0.017119686408237505
qwen3-8b,P2D1,L2,qwen3-8b__res_08__p32_p512,1,qwen3-8b__p2d1__l2__r1,4718592,75497472,9,1798.9275,155.10899999999998,1799.492,1799.492,0.014994021087025414
qwen3-8b,P2D1,L2,qwen3-8b__res_09__p128_p2048,0,qwen3-8b__p2d1__l2__r0,18874368,301989888,9,7024.798,497.131,7011.731,7011.731,0.023235805303395283
