workload_id,phase,group_size,batch_size,input_len,output_len,representative_rank_target_us,all_rank_critical_target_us,critical_over_representative_target,total_bytes_only_predicted_us,total_bytes_only_all_rank_ape,three_hard_bins_predicted_us,three_hard_bins_all_rank_ape,continuous_histogram_predicted_us,continuous_histogram_all_rank_ape,continuous_histogram_dnn_residual_predicted_us,continuous_histogram_dnn_residual_all_rank_ape
decode-tp2-b1-l128-m32,decode,2,1,128,32,9941.944125,623726.203875,62.73684462846445,6994.236416934827,0.9887863675223487,12006.040552157452,0.9807511044468422,10090.054375000002,0.9838229429638937,9897.883563606865,0.9841310441951698
decode-tp2-b1-l128-m128,decode,2,1,128,128,40670.940375,2444623.254,60.10736981883715,17313.370170941478,0.9929177757175415,44573.78423095581,0.9817666038486617,41336.674375,0.9830907791998775,37726.35893713787,0.9845676183946102
decode-tp2-b1-l2048-m512,decode,2,1,2048,512,165618.357625,6404911.686249999,38.672715863734545,42363.670626865634,0.9933857525751977,162775.3773385251,0.974585851404014,166323.154375,0.974031936344718,169420.6784660054,0.9735483193578273
decode-tp2-b4-l2048-m128,decode,2,4,2048,128,41393.046500000004,2017059.2755,48.72942308075826,42203.64628513543,0.9790766454919011,40460.78043925597,0.9799407082723306,41654.648793265966,0.9793488226651443,41978.24065524197,0.9791883951229762
decode-tp2-b16-l2048-m32,decode,2,16,2048,32,15430.207375,635844.491375,41.2077735523629,41560.14166415274,0.9346378835896182,15772.595673007234,0.9751942560060569,15135.081562500001,0.9761968818354143,14502.780146680416,0.9771913095994298
decode-tp4-b1-l128-m32,decode,4,1,128,32,53373.2948125,743382.855875,13.927992612906861,10234.797248946072,0.9862321317097108,13442.607737151704,0.9819169790762405,10272.791336618806,0.9861810219923256,52750.81204506909,0.9290395095499228
decode-tp4-b1-l128-m128,decode,4,1,128,128,42450.4485,2844905.0607499997,67.01707900094388,22139.94642087849,0.9922176853188057,49907.20247646547,0.9824573399073963,42085.306443567366,0.9852067799997261,45346.13124387742,0.984060581890939
decode-tp4-b1-l128-m512,decode,4,1,128,512,169129.438625,10513358.840249998,62.161613765895616,47423.383180676974,0.9954892262405123,182252.0536493975,0.982664716726718,169335.3668713616,0.9838933142638424,173566.35690283866,0.983490874844075
decode-tp4-b1-l2048-m512,decode,4,1,2048,512,172520.30687499998,11231900.532125,65.10480264948231,47423.383180676974,0.9957777953032045,182252.0536493975,0.9837737119263006,169335.3668713616,0.9849237120301204,179188.0106466316,0.984046510193522
decode-tp4-b4-l2048-m128,decode,4,4,2048,128,66914.74425,2982216.159,44.567399792460535,47270.84539313529,0.984149088170394,45302.06255935073,0.9848092625939826,43355.486718520064,0.9854619905442877,43446.013963612015,0.9854316348489708
decode-tp4-b16-l2048-m32,decode,4,16,2048,32,15312.957625,731329.9125,47.75889350768056,46656.57385123968,0.9362031101780762,17659.845117783836,0.9758524233510223,15562.993148149419,0.9787195998930928,15120.129242579898,0.9793251595700594
decode-tp8-b1-l128-m32,decode,8,1,128,32,76141.921,913140.4058749999,11.992610560416514,15255.581721022098,0.9832932792997986,16062.523446900188,0.9824095797934727,11093.524172128195,0.9878512394142739,75211.7032688204,0.9176340212469842
decode-tp8-b1-l128-m512,decode,8,1,128,512,179657.31612499998,12571582.269749999,69.9753427297282,62177.29408401786,0.9950541393477867,217772.3208346362,0.9826774135377816,182864.22103088733,0.9854541602554756,178878.3827588259,0.9857712116962996
decode-tp8-b1-l2048-m512,decode,8,1,2048,512,181513.71524999998,21925979.69625,120.79516782547924,62177.29408401786,0.9971642182039122,217772.3208346362,0.9900678408056776,182864.22103088733,0.9916599292909971,177484.52717166574,0.9919052863484126
decode-tp8-b2-l8192-m32,decode,8,2,8192,32,12690.985375,846057.638125,66.66603207908905,21595.222352309484,0.9744754714345846,15303.513459792019,0.9819119729316468,11095.77575,0.9868853193328647,12587.439661004932,0.9851222433392355
decode-tp8-b4-l2048-m128,decode,8,4,2048,128,46160.5074375,3438176.7025,74.48307857436777,61994.0069784709,0.9819689293649762,54131.2709766455,0.984255820552421,46047.23694155813,0.9866070766787304,47283.70490197094,0.986247447704596
decode-tp8-b8-l8192-m32,decode,8,8,8192,32,11451.105500000001,909848.6205,79.45509020941252,43272.85028883651,0.9524395055244945,13891.39623607514,0.9847321895938677,11674.431262939508,0.9871688201752464,11359.754381804247,0.9875146764793009
decode-tp8-b16-l128-m128,decode,8,16,128,128,297651.7176875,3929967.740125,13.203242268035602,124224.57907150223,0.9683904328773063,81305.54301640239,0.9793113968376197,68185.331625,0.9826499004231442,292911.8353555655,0.9254671145605259
decode-tp8-b16-l2048-m32,decode,8,16,2048,32,16627.5475,867869.672125,52.19468909200229,61255.404870924045,0.9294186594619227,21101.68516552522,0.9756856520704806,16643.663625,0.9808223928550843,16361.151947643486,0.9811479160141835
prefill-tp2-b1-l128-m8,prefill,2,1,128,8,562.845,10255.387,18.2206237951834,248.99251296326287,0.9757208077117653,1042.7518817115727,0.8983215473280948,575.4632450897034,0.9438867353236204,540.6123226806076,0.9472850392987991
prefill-tp2-b1-l2048-m8,prefill,2,1,2048,8,2756.463,15695.667,5.694133024822027,3321.6044637678656,0.7883744307414354,3289.5433088585514,0.7904171062715238,2848.1788459500294,0.8185372532463877,2742.2702294753117,0.8252848872573996
prefill-tp2-b1-l8192-m8,prefill,2,1,8192,8,12908.515,12272.464000000002,0.9507262454279212,12131.897468443312,0.011453814943493772,12059.884819757424,0.017321638119498856,11778.78546264531,0.04022652153265161,12668.274024905752,0.03225187907707447
prefill-tp2-b8-l128-m8,prefill,2,8,128,8,1716.5645,22714.773,13.232694139952214,1738.0309575630647,0.9234845552908205,1718.034311305925,0.924364891900706,1767.667689558093,0.9221798214951084,1712.4202042058077,0.9246120485463003
prefill-tp4-b1-l128-m8,prefill,4,1,128,8,821.336,36219.780000000006,44.09861493956189,510.3716028715493,0.9859090363643416,1214.1771996972702,0.9664775103631975,826.1535320734781,0.9771905425136906,816.2367306038601,0.9774643377015582
prefill-tp4-b1-l2048-m8,prefill,4,1,2048,8,3489.455,73614.65899999999,21.09631991242185,4574.911240835267,0.9378532577209212,3830.3344765744964,0.9479677753234651,3488.130248532872,0.9526163634265713,3484.7608182719523,0.9526621346127276
prefill-tp4-b1-l8192-m8,prefill,4,1,8192,8,13592.994999999999,15639.451,1.1505522513618227,13697.167279793543,0.12419129803254965,14042.494131096591,0.10211080100595653,13978.705637294433,0.10618949237448078,13334.240738305612,0.14739713444508934
prefill-tp8-b1-l128-m8,prefill,8,1,128,8,1013.822,55391.08600000001,54.63590847308503,558.464176110457,0.9899177969518335,1473.0119646180058,0.9734070575070869,1016.016533006674,0.9816574000190812,1006.4469069867447,0.9818301647491304
prefill-tp8-b1-l2048-m8,prefill,8,1,2048,8,4085.7395,63372.817,15.510733613829272,5624.947842293163,0.9112403691587015,4646.874042676652,0.9266740179361657,4104.141030080449,0.9352381474523935,4031.875819826015,0.9363784661832847
prefill-tp8-b1-l8192-m8,prefill,8,1,8192,8,21565.734,31804.103,1.474751705645632,17851.721046120376,0.4386975464731586,17036.032198052053,0.4643448300349155,20780.012922259215,0.3466247759838026,21443.474590854526,0.3257638930783702
