scenario,bin_index,lower_bytes,upper_bytes,gpu_calls_per_1000_requests,teacher_calls_per_1000_requests,calls_absolute_error,gpu_logical_bytes_per_1000_requests,teacher_logical_bytes_per_1000_requests,logical_bytes_absolute_error
single_exact_chunk,5,1763487.5990421579,5931641.601515722,0.0,0.0,0.0,0.0,0.0,0.0
single_exact_chunk,6,5931641.601515722,19951584.63713749,0.0,0.0,0.0,0.0,0.0,0.0
single_exact_chunk,7,19951584.63713749,67108864.0,0.0,0.0,0.0,0.0,0.0,0.0
single_exact_chunk,8,67108864.0,225726412.6773962,0.0,0.0,0.0,0.0,0.0,0.0
single_exact_chunk,9,225726412.6773962,759250124.9940125,1000.0,1000.0,0.0,603979776000.0,603979776000.0,0.0
single_exact_chunk,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
single_exact_chunk,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
single_short,0,4096.0,13777.246867516858,0.0,0.0,0.0,0.0,0.0,0.0
single_short,1,13777.246867516858,46340.95001184158,0.0,0.0,0.0,0.0,0.0,0.0
single_short,2,46340.95001184158,155871.75497763665,0.0,0.0,0.0,0.0,0.0,0.0
single_short,3,155871.75497763665,524288.0,0.0,0.0,0.0,0.0,0.0,0.0
single_short,4,524288.0,1763487.5990421579,0.0,0.0,0.0,0.0,0.0,0.0
single_short,5,1763487.5990421579,5931641.601515722,0.0,0.0,0.0,0.0,0.0,0.0
single_short,6,5931641.601515722,19951584.63713749,1000.0,1000.0,0.0,9437184000.0,9437184000.0,0.0
single_short,7,19951584.63713749,67108864.0,0.0,0.0,0.0,0.0,0.0,0.0
single_short,8,67108864.0,225726412.6773962,0.0,0.0,0.0,0.0,0.0,0.0
single_short,9,225726412.6773962,759250124.9940125,0.0,0.0,0.0,0.0,0.0,0.0
single_short,10,759250124.9940125,2553802833.553599,0.0,0.0,0.0,0.0,0.0,0.0
single_short,11,2553802833.553599,8589934592.0,0.0,0.0,0.0,0.0,0.0,0.0
