aggregation_scope,parallelism,sample_label,estimator_kind,reference_label,phase,policy,parallel_size,source,full_ge_128,cases,calls_mape,calls_wape,p95_calls_ape,bytes_mape,bytes_wape,p95_bytes_ape,mean_calls_histogram_l1,mean_calls_histogram_tv,mean_bytes_histogram_l1,mean_bytes_histogram_tv,mean_log_payload_emd_log2_bytes,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,p95_common_reference_cost_ape,tp_measured_l1_cost_mape,p95_tp_measured_l1_cost_ape
overall,pp,compact32,compact_profile,hfull,decode,,,,,216,0.08286223716265045,0.050129673926096394,0.28212851405622497,0.028976878781279785,0.018561252587264574,0.09827198428788647,0.2924415124847356,0.1462207562423678,0.32847757497813984,0.16423878748906992,0.1533565215678814,0.007302691503232448,0.08038073843724274,0.04932515071297842,0.2672425074695863,,
overall,pp,compact32,compact_profile,hfull,prefill,,,,,216,0.04800633954147577,0.034129126344539275,0.17187499999999992,0.03582519333111006,0.013643878735604074,0.10502711194445859,1.1172535885692028,0.5586267942846014,1.0188243704401958,0.5094121852200979,0.3272070229195928,0.015581286805694894,0.03219328892846628,0.01385927032877223,0.10231820643344529,,
overall,pp,compact32,compact_profile,hfull,total,,,,,216,0.0814344926849505,0.049468961083635465,0.2782066508313539,0.032903078108129924,0.013324396696568545,0.10031277679362274,0.3151803876716555,0.15759019383582776,0.9601027669688341,0.48005138348441706,0.17173322818457973,0.008177772770694272,0.05675499838780219,0.029933834401786187,0.22509114909361636,,
overall,pp,h128,exact_representative,hfull,decode,,,,,216,0.0477614546906707,0.027132220364936847,0.23016467065868262,0.010852246225523112,0.006628810306295146,0.03484838285605677,0.14510818139632914,0.07255409069816457,0.19772447230512677,0.09886223615256338,0.07467838942106189,0.003556113781955328,0.04646912791945371,0.02669575457504827,0.2220416006409903,,
overall,pp,h128,exact_representative,hfull,prefill,,,,,216,0.01682345558773697,0.009885188317190414,0.07142857142857136,0.021268580703949547,0.013991425541114851,0.051882983409190946,0.639413149900743,0.3197065749503715,0.596128027913297,0.2980640139566485,0.07299277302689208,0.003475846334613908,0.019848177950364237,0.013858348504354844,0.0541065162248753,,
overall,pp,h128,exact_representative,hfull,total,,,,,216,0.0470352553344142,0.02673892753944815,0.22807234886025762,0.020109930724746657,0.013722145855558844,0.04764687944704208,0.15575951667099971,0.07787975833549986,0.5612077435317709,0.28060387176588547,0.0812522284505282,0.003869153735739437,0.03562945317757811,0.018765247420569182,0.17794376332766865,,
overall,pp,h32,exact_representative,hfull,decode,,,,,216,0.08543429165528538,0.04331359770141512,0.2788332837596668,0.05343212260803312,0.03160830304896034,0.1738512845849803,0.16735401880396109,0.08367700940198054,0.21192303495247766,0.10596151747623883,0.09462185522282678,0.004505802629658419,0.08371465054527068,0.04286413100395516,0.2755004408984078,,
overall,pp,h32,exact_representative,hfull,prefill,,,,,216,0.04624672210882511,0.033493852403887366,0.1375,0.06174029344817211,0.048871137246694875,0.14080791060659814,0.8606677239499745,0.43033386197498724,0.8084520470200093,0.40422602351000464,0.1548979795904447,0.007376094266211651,0.056323605754012955,0.048438637514382085,0.13718241750770813,,
overall,pp,h32,exact_representative,hfull,total,,,,,216,0.08381432748067305,0.04275508414529558,0.2713692196531791,0.05817734946363696,0.04782837027794168,0.127821910983171,0.1843585144107901,0.09217925720539505,0.7551355998508404,0.3775677999254202,0.11013140595900958,0.0052443526647147415,0.06630104709742003,0.03627271194425553,0.1964721228094431,,
overall,pp,h64,exact_representative,hfull,decode,,,,,216,0.047156696266867186,0.028115669585302174,0.15494011976047903,0.022323349237791296,0.013270904039438392,0.07444743130227009,0.15332435968540462,0.07666217984270231,0.2066396942021988,0.1033198471010994,0.07826357833673596,0.0037268370636540935,0.04607390272133723,0.02772627092674721,0.1512474772700257,,
overall,pp,h64,exact_representative,hfull,prefill,,,,,216,0.024548992501411116,0.01664790053198317,0.0855876865671641,0.028149752481892703,0.023198563533937466,0.07370841981264364,0.7294643720616498,0.3647321860308249,0.6914380453458601,0.34571902267293003,0.10214791988533388,0.004864186661206376,0.027112918214517757,0.022983054525149666,0.07278819747262104,,
overall,pp,h64,exact_representative,hfull,total,,,,,216,0.0461746141047938,0.027595223380189896,0.15395592485549142,0.027810913952374196,0.02273069555332652,0.07136960858499004,0.16670845230218265,0.08335422615109132,0.6492865095736297,0.3246432547868148,0.08658847340942175,0.004123260638543892,0.03270923777052872,0.01833821094968552,0.11151109948892489,,
overall,tp,compact32,compact_profile,hfull,decode,,,,,216,0.13275445679504713,0.11754441185452356,0.31948228882833796,0.02897687878127976,0.018561252587264557,0.09827198428788642,0.6921835776897852,0.3460917888448926,0.6890207942854248,0.3445103971427124,0.3149900876463221,0.014999527983158192,0.12534462583656464,0.11234069650121857,0.30727243522770814,0.12624663740751346,0.30047212380581345
overall,tp,compact32,compact_profile,hfull,prefill,,,,,216,0.050342062577777125,0.06959020908113786,0.15893308080808083,0.03582519333111009,0.013643878735604088,0.10502711194445852,1.9983832566969852,0.9991916283484926,1.9987726250293658,0.9993863125146829,0.32633645553890417,0.015539831216138294,0.03439672453177556,0.013633045464699319,0.10237068861748988,0.038177941459220176,0.13283997824221797
overall,tp,compact32,compact_profile,hfull,total,,,,,216,0.13135114703390702,0.11672206106834103,0.31619623655913986,0.03290307810812993,0.013324396696568567,0.10031277679362269,0.7083321583502921,0.35416607917514603,1.9227662746335423,0.9613831373167712,0.32894949617107044,0.015664261722431922,0.07288806594579411,0.0410063871968644,0.28833491647317955,0.10493339865100723,0.29295982545943483
overall,tp,h128,exact_representative,hfull,decode,,,,,216,0.07651989974223666,0.05308372163513727,0.27903543307086615,0.010852246225523122,0.0066288103062951634,0.034848382856056716,0.3948707372526054,0.1974353686263027,0.42101935619386466,0.21050967809693233,0.16947997748752733,0.008070475118453681,0.07247065627966602,0.050837299696812346,0.26793105038098547,0.07304367639233036,0.2714090186577653
overall,tp,h128,exact_representative,hfull,prefill,,,,,216,0.03250714654995856,0.024585240831573815,0.0875,0.021268580703949554,0.013991425541114853,0.05188298340919114,1.8159651115368378,0.9079825557684189,1.7840508357740448,0.8920254178870224,0.16684301005511856,0.00794490524071993,0.020554286778083217,0.013954168547066772,0.05379718468286076,0.02115641916085494,0.07390203623788165
overall,tp,h128,exact_representative,hfull,total,,,,,216,0.07567149498087138,0.05265894659716126,0.27685546875,0.020109930724746653,0.01372214585555885,0.047646879447042254,0.4111986098160887,0.20559930490804434,1.697045669932369,0.8485228349661845,0.17616830892469185,0.008388967091651992,0.04894986161949621,0.023583298831757943,0.18691814348755226,0.06297920493004658,0.24436680225182134
overall,tp,h32,exact_representative,hfull,decode,,,,,216,0.11634785443039684,0.08033361456865831,0.3935837328694473,0.053432122608033115,0.03160830304896034,0.17385128458498025,0.5340177340096363,0.26700886700481813,0.5530750071799881,0.27653750358999407,0.24297037508264574,0.011570017861078372,0.11118558524249031,0.07724174097990433,0.3608643463633375,0.11195955632381978,0.36341119489477425
overall,tp,h32,exact_representative,hfull,prefill,,,,,216,0.05014970031931859,0.040488837201492385,0.14580696202531662,0.06174029344817214,0.04887113724669491,0.14080791060659809,1.8431465221520287,0.9215732610760143,1.816969295087982,0.908484647543991,0.23789272103306197,0.01132822481109819,0.05970747178834676,0.04873416489208999,0.13718241750770813,0.05421435205337,0.13783058064206827
overall,tp,h32,exact_representative,hfull,total,,,,,216,0.11483734132619634,0.07981958384210582,0.39350058932480225,0.058177349463636986,0.04782837027794172,0.12782191098317097,0.5501276661844493,0.27506383309222465,1.7313360680091852,0.8656680340045926,0.25330610457624936,0.012062195456011877,0.06956369863340568,0.0487478502794818,0.2151982995227411,0.09084091431744852,0.25566368000497375
overall,tp,h64,exact_representative,hfull,decode,,,,,216,0.06570592717637193,0.04684699420653118,0.16608391608391604,0.022323349237791296,0.01327090403943839,0.07444743130227006,0.4487954622533718,0.2243977311266859,0.4489676550904694,0.2244838275452347,0.197197602426578,0.009390362020313238,0.061815382489343124,0.04490249703788846,0.16248431414620187,0.06258249265345087,0.162651259344591
overall,tp,h64,exact_representative,hfull,prefill,,,,,216,0.031418693408102716,0.024902592555444653,0.0875,0.02814975248189271,0.023198563533937462,0.07370841981264378,1.817032073912135,0.9085160369560675,1.791994449601422,0.895997224800711,0.15793515746345788,0.007520721783974186,0.02801754769414684,0.023127259506282062,0.07360722656419492,0.03004548194613879,0.06995413568196814
overall,tp,h64,exact_representative,hfull,total,,,,,216,0.06501256631292358,0.046487780574918085,0.16435986159169547,0.0278109139523742,0.022730695553326522,0.07136960858499,0.46474648428894294,0.23237324214447147,1.7028728198582959,0.8514364099291479,0.2021612413301877,0.009626725777627984,0.038774879656800786,0.02385910940915039,0.13207194470036288,0.05105583227217264,0.14855941822992808
policy,pp,compact32,compact_profile,hfull,decode,mb1,,,,72,0.028976878781279785,0.01856125258726457,0.09827198428788647,0.028976878781279785,0.01856125258726457,0.09827198428788647,0.0,0.0,0.0,0.0,0.0,0.0,0.028976878781279764,0.018561252587264546,0.09827198428788647,,
policy,pp,compact32,compact_profile,hfull,decode,mb16,,,,72,0.11112212623033241,0.07025095812514012,0.28212851405622497,0.028976878781279785,0.01856125258726457,0.09827198428788647,0.5326190731070314,0.2663095365535157,0.5979321741268413,0.29896608706342065,0.27372183869871275,0.013034373271367278,0.1070343792888866,0.06873570257648598,0.2672425074695863,,
policy,pp,compact32,compact_profile,hfull,decode,mb4,,,,72,0.10848770647633918,0.0738930832068759,0.44776119402985076,0.028976878781279785,0.018561252587264578,0.09827198428788647,0.34470546434717536,0.17235273217358768,0.38750055080757817,0.19375027540378909,0.18634772600493144,0.008873701238330069,0.10513095724156186,0.0724088694155133,0.4373712854318225,,
policy,pp,compact32,compact_profile,hfull,prefill,mb1,,,,72,0.03142365339200722,0.042048634496480566,0.12205725462304416,0.03582519333111006,0.013643878735604067,0.10502711194445859,1.6569738963605163,0.8284869481802581,1.5139221624035146,0.7569610812017573,0.49312096317946785,0.02348195062759371,0.028024429849879517,0.014156617233413032,0.08402283743471824,,
policy,pp,compact32,compact_profile,hfull,prefill,mb16,,,,72,0.0838853332472201,0.0300146033970859,0.3496671597633136,0.03582519333111007,0.013643878735604086,0.10502711194445859,0.5446124440332105,0.27230622201660526,0.4287482404057175,0.21437412020285876,0.24621723648290386,0.011724630308709705,0.03517474927877838,0.013714898427559383,0.10237068861748996,,
policy,pp,compact32,compact_profile,hfull,prefill,mb4,,,,72,0.028710031985199964,0.02312678340865631,0.07462686567164187,0.035825193331110054,0.013643878735604067,0.10502711194445859,1.150174425313881,0.5750872126569405,1.1138027085113547,0.5569013542556773,0.24228286909640667,0.011537279480781268,0.03338068765674094,0.01370176632545201,0.09519988607354132,,
policy,pp,compact32,compact_profile,hfull,total,mb1,,,,72,0.027669393759441805,0.01828107934269879,0.08911438584396186,0.03290307810812993,0.013324396696568543,0.10031277679362274,0.051608064935885115,0.025804032467942557,1.3985055840910592,0.6992527920455296,0.027721364704509047,0.001320064985929002,0.02268459362447623,0.012677050935356584,0.0683561466044361,,
policy,pp,compact32,compact_profile,hfull,total,mb16,,,,72,0.109954248794442,0.0694941865795706,0.2782066508313539,0.03290307810812992,0.013324396696568548,0.10031277679362274,0.5340515658351096,0.2670257829175548,0.4384707906506769,0.21923539532533845,0.2850789739471871,0.013575189235580336,0.07253939427956416,0.03900203183976054,0.22509114909361636,,
policy,pp,compact32,compact_profile,hfull,total,mb4,,,,72,0.1066798355009677,0.07304839011420645,0.43488745980707394,0.03290307810812993,0.013324396696568536,0.10031277679362274,0.35988153224397174,0.17994076612198587,1.043331926164766,0.521665963082383,0.20239934590204298,0.009638064090573476,0.0750410072593662,0.041738289397414675,0.3903707604762922,,
policy,pp,h128,exact_representative,hfull,decode,mb1,,,,72,0.010852246225523113,0.006628810306295149,0.03484838285605677,0.010852246225523113,0.006628810306295149,0.03484838285605677,0.0,0.0,0.0,0.0,0.0,0.0,0.01085224622552313,0.0066288103062951695,0.034848382856056674,,
