evidence_set,parallelism,slice_type,slice_value,method,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,calls_wape_relative_improvement_vs_h0,cost_wape_relative_improvement_vs_h0
new_confirmation_repeated_after_rescue,tp,policy,balanced,h0,81,0.24541848892208193,0.18478791099245429,0.02734984015103233,0.026316162747407418,0.2080130428916708,0.02078850250176724,0.16490371788725078,0.12236991409134308,,
new_confirmation_repeated_after_rescue,tp,policy,balanced,h0_plus_dnn_residual,81,0.1781540986539084,0.13866152502004975,0.027349901267322382,0.026316183215606272,0.19608657080152855,0.019327982826486793,0.12075523956180906,0.09305695286773873,0.24961798488153308,0.23954385717492355
new_confirmation_repeated_after_rescue,tp,policy,latency,h0,81,0.17076812672726588,0.13384065083043406,0.02734984015103228,0.026316162747407352,0.15779633670897814,0.015872952230418562,0.1316760143790226,0.1054956183297941,,
new_confirmation_repeated_after_rescue,tp,policy,latency,h0_plus_dnn_residual,81,0.12679607920778363,0.10480811576265134,0.027349855332050615,0.02631615746423296,0.12535253985809536,0.01353279763153727,0.09753798320908216,0.08331237500969858,0.21691866325847997,0.21027644248453603
new_confirmation_repeated_after_rescue,tp,policy,throughput,h0,81,0.2317264815866539,0.22721094965403596,0.0273498401510323,0.02631616274740739,0.2763704591654837,0.02758401369862058,0.13211543785001176,0.119598392545164,,
new_confirmation_repeated_after_rescue,tp,policy,throughput,h0_plus_dnn_residual,81,0.15575432781853704,0.14841218866424546,0.02734988436723758,0.026316177130353616,0.291921282070526,0.028879017953630168,0.08916281021774629,0.08051393909839545,0.3468088184560377,0.326797481262209
new_confirmation_once,pp,policy,mb1,h0,81,0.025451065297762688,0.011965161965731459,0.0273498401510323,0.026316162747407373,0.004379039068584335,0.0007317290426081485,0.022928427848671336,0.011449867954688896,,
new_confirmation_once,pp,policy,mb1,h0_plus_dnn_residual,81,0.027488378107654816,0.013687488232357697,0.03941753394477087,0.03740085427810329,0.004612997100586849,0.000840325872732722,0.024252002196350004,0.012641101930732323,-0.14394508587171884,-0.1040391016523119
new_confirmation_once,pp,policy,mb16,h0,81,0.881462591266517,0.46300494603546,0.027349840151032274,0.026316162747407376,0.45787740569591445,0.06396836564238158,0.32882609390240775,0.24407530320385545,,
new_confirmation_once,pp,policy,mb16,h0_plus_dnn_residual,81,0.4039037441619982,0.27105633692592435,0.04689477934393723,0.04226363048643939,0.33380934745113905,0.04283680153022583,0.1379601861403184,0.13173220518123877,0.4145714009172484,0.46028048126108856
new_confirmation_once,pp,policy,mb4,h0,81,0.18883536168259174,0.10498657812112419,0.02734984015103227,0.026316162747407338,0.18753803168549738,0.023862682115455027,0.11793621885136898,0.07613419969784614,,
new_confirmation_once,pp,policy,mb4,h0_plus_dnn_residual,81,0.09346795012292514,0.05908929044169734,0.04127771340036881,0.03962530865583062,0.0892411671147584,0.011279763053180276,0.05927104650866174,0.040542978638418874,0.43717290820236687,0.4674800707261412
