parallelism,stage,candidate_id,candidate_count,family,score
tp,phase31_prior,aggregate_prior_candidates,18,,
pp,phase31_prior,aggregate_prior_candidates,12,,
tp,phase32b_regular,tp32_c19_tp_split_total_shape_shared_lr0.001_w64,1,tp_split_total_shape,5.270914315101257
tp,phase32b_regular,tp32_c20_tp_split_total_shape_shared_lr0.003_w64,1,tp_split_total_shape,5.0045106212682064
tp,phase32b_regular,tp32_c21_tp_split_total_shape_policy_lr0.001_w64,1,tp_split_total_shape,5.044858158313289
tp,phase32b_regular,tp32_c22_tp_split_total_shape_policy_lr0.003_w64,1,tp_split_total_shape,4.960235863501741
tp,phase32b_regular,tp32_c23_tp_split_total_shape_model_lr0.001_w64,1,tp_split_total_shape,4.918129840552557
tp,phase32b_regular,tp32_c24_tp_split_total_shape_model_lr0.003_w64,1,tp_split_total_shape,5.20791382679533
tp,phase32b_regular,tp32_c25_tp_split_total_shape_model_policy_lr0.001_w64,1,tp_split_total_shape,5.113912352853401
tp,phase32b_regular,tp32_c26_tp_split_total_shape_model_policy_lr0.003_w64,1,tp_split_total_shape,4.923843357556805
tp,phase32b_regular,tp32_c27_tp_residual_gate_shared_lr0.001_w64,1,tp_residual_gate,4.997015255714568
tp,phase32b_regular,tp32_c28_tp_residual_gate_shared_lr0.003_w64,1,tp_residual_gate,4.885727246610073
tp,phase32b_regular,tp32_c29_tp_residual_gate_policy_lr0.001_w64,1,tp_residual_gate,4.956813830295441
tp,phase32b_regular,tp32_c30_tp_residual_gate_policy_lr0.003_w64,1,tp_residual_gate,4.9028404657723765
tp,phase32b_regular,tp32_c31_tp_residual_gate_model_lr0.001_w64,1,tp_residual_gate,4.913038747951848
tp,phase32b_regular,tp32_c32_tp_residual_gate_model_lr0.003_w64,1,tp_residual_gate,4.9038134208366095
tp,phase32b_regular,tp32_c33_tp_residual_gate_model_policy_lr0.001_w64,1,tp_residual_gate,5.071862103280337
tp,phase32b_regular,tp32_c34_tp_residual_gate_model_policy_lr0.003_w64,1,tp_residual_gate,5.109020179629189
tp,phase32b_regular,tp32_c35_tp_lowdim_sequence_shape_shared_lr0.001_w32,1,tp_lowdim_sequence_shape,5.196891023989365
tp,phase32b_regular,tp32_c36_tp_lowdim_sequence_shape_shared_lr0.001_w64,1,tp_lowdim_sequence_shape,4.919338833994632
tp,phase32b_regular,tp32_c37_tp_lowdim_sequence_shape_shared_lr0.001_w32,1,tp_lowdim_sequence_shape,4.786106411355417
