policy,frozen_candidate_method,confirmation_wins_of_calls_tv_cost,confirmation_cost_guard,frozen_candidate_confirmed,post_confirmation_recommendation,recommendation_status,h0_calls_mape,candidate_calls_mape,h0_histogram_tv,candidate_histogram_tv,h0_cost_mape,candidate_cost_mape,same_confirmation_set_hybrid_score_is_unbiased
mb1,enhanced_bounded_residual,1,False,False,h0,fallback_to_h0,0.058187290713166445,0.0659184536005186,0.06723048705320418,0.043894243127483704,0.020035539083320404,0.04401787899454237,False
mb4,enhanced_bounded_residual,3,True,True,enhanced_bounded_residual,candidate_for_future_independent_validation,0.385469486705835,0.15375840882293243,0.22770752745172604,0.13468675019409163,0.10896051080087811,0.0666951311968696,False
mb16,enhanced_bounded_residual,3,True,True,enhanced_bounded_residual,candidate_for_future_independent_validation,1.4202313656572272,0.5554950395155326,0.5248966731360125,0.3747401828981794,0.19983158594568204,0.08477685553146129,False
