policy,method,calls_mape_delta_vs_h0,calls_mape_relative_change,histogram_tv_delta_vs_h0,histogram_tv_relative_change,cost_mape_delta_vs_h0,cost_mape_relative_change,bytes_mape_delta_vs_h0
all,legacy_bounded_residual,-0.3156947418954404,-0.5081228877411168,-0.06367234703216476,-0.2329945829032214,-0.02930014132541517,-0.26731458794333485,0.007759314524063102
all,enhanced_bounded_residual,-0.36290541371241486,-0.5841102885822257,-0.088837837140396,-0.3250820140192837,-0.04444592336900245,-0.40549441585253443,0.003145879230191162
all,enhanced_direct,-0.30298428338474703,-0.4876649135468357,-0.1356337905620767,-0.49632124356323626,0.1234118436057893,1.1259258361389968,0.3097723409657111
mb1,legacy_bounded_residual,0.04323974741221684,0.7431132620586625,-0.006911460553557035,-0.10280247632428297,0.04128622363409035,2.0606495019872537,0.0052023781885938356
mb1,enhanced_bounded_residual,0.00773116288735215,0.13286686478431897,-0.02333624392572048,-0.34710805987844295,0.023982339911221964,1.1969899991953437,-0.0034162217595648074
mb1,enhanced_direct,0.2158116938908242,3.7089146314556105,0.0024833299947453064,0.03693755770027485,0.18064587986156352,9.016272490114893,0.23275381323514976
mb4,legacy_bounded_residual,-0.1665014723928136,-0.43194462372550024,-0.07333929157149152,-0.32207671126304527,-0.027490976150945617,-0.25230219598717285,0.013018232264836116
mb4,enhanced_bounded_residual,-0.23171107788290254,-0.6011139295695518,-0.09302077725763441,-0.4085098911688583,-0.042265379604008516,-0.3878963056739626,-0.0003455152962465631
mb4,enhanced_direct,-0.03567302663656291,-0.0925443591953784,-0.07040292381588376,-0.30918136349624703,0.0880675134486953,0.8082516574251006,0.2886610169634934
mb16,legacy_bounded_residual,-0.8238225007057246,-0.5800621790411535,-0.11076628897144569,-0.21102494003185202,-0.1016956714593902,-0.5089068926622691,0.005057333118759354
mb16,enhanced_bounded_residual,-0.8647363261416946,-0.608870038397954,-0.15015649023783312,-0.28606866441107015,-0.11505473041422075,-0.5757584811717141,0.013199374746384836
mb16,enhanced_direct,-1.0890915174085025,-0.7668409132088939,-0.33898177786509165,-0.645806680083975,0.10152213750710923,0.5080384916461846,0.4079021926984903
