timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:22:40.467, 1, 4 MiB, 0 %
2026/08/06 10:22:40.467, 2, 0 MiB, 0 %
2026/08/06 10:22:40.467, 3, 0 MiB, 0 %
2026/08/06 10:22:40.467, 4, 0 MiB, 0 %
2026/08/06 10:22:40.467, 5, 0 MiB, 0 %
2026/08/06 10:22:40.467, 6, 0 MiB, 0 %
2026/08/06 10:22:40.467, 7, 0 MiB, 0 %
2026/08/06 10:22:41.467, 0, 4 MiB, 0 %
2026/08/06 10:22:41.468, 1, 4 MiB, 0 %
2026/08/06 10:22:41.468, 2, 0 MiB, 0 %
2026/08/06 10:22:41.468, 3, 0 MiB, 0 %
2026/08/06 10:22:41.468, 4, 0 MiB, 0 %
2026/08/06 10:22:41.468, 5, 0 MiB, 0 %
2026/08/06 10:22:41.468, 6, 0 MiB, 0 %
2026/08/06 10:22:41.468, 7, 0 MiB, 0 %
2026/08/06 10:22:42.468, 0, 4 MiB, 0 %
2026/08/06 10:22:42.468, 1, 4 MiB, 0 %
2026/08/06 10:22:42.468, 2, 0 MiB, 0 %
2026/08/06 10:22:42.468, 3, 0 MiB, 0 %
2026/08/06 10:22:42.468, 4, 0 MiB, 0 %
2026/08/06 10:22:42.468, 5, 0 MiB, 0 %
2026/08/06 10:22:42.468, 6, 0 MiB, 0 %
2026/08/06 10:22:42.468, 7, 0 MiB, 0 %
2026/08/06 10:22:43.468, 0, 4 MiB, 0 %
2026/08/06 10:22:43.468, 1, 4 MiB, 0 %
2026/08/06 10:22:43.468, 2, 0 MiB, 0 %
2026/08/06 10:22:43.468, 3, 0 MiB, 0 %
2026/08/06 10:22:43.468, 4, 0 MiB, 0 %
2026/08/06 10:22:43.468, 5, 0 MiB, 0 %
2026/08/06 10:22:43.468, 6, 0 MiB, 0 %
2026/08/06 10:22:43.468, 7, 0 MiB, 0 %
2026/08/06 10:22:44.468, 0, 4 MiB, 0 %
2026/08/06 10:22:44.468, 1, 4 MiB, 0 %
2026/08/06 10:22:44.468, 2, 0 MiB, 0 %
2026/08/06 10:22:44.468, 3, 0 MiB, 0 %
2026/08/06 10:22:44.468, 4, 0 MiB, 0 %
2026/08/06 10:22:44.468, 5, 0 MiB, 0 %
2026/08/06 10:22:44.468, 6, 0 MiB, 0 %
2026/08/06 10:22:44.468, 7, 0 MiB, 0 %
2026/08/06 10:22:45.468, 0, 4 MiB, 0 %
2026/08/06 10:22:45.468, 1, 4 MiB, 0 %
2026/08/06 10:22:45.468, 2, 0 MiB, 0 %
2026/08/06 10:22:45.468, 3, 0 MiB, 0 %
2026/08/06 10:22:45.468, 4, 0 MiB, 0 %
2026/08/06 10:22:45.468, 5, 0 MiB, 0 %
2026/08/06 10:22:45.468, 6, 0 MiB, 0 %
2026/08/06 10:22:45.468, 7, 0 MiB, 0 %
2026/08/06 10:22:46.468, 0, 29 MiB, 0 %
2026/08/06 10:22:46.512, 1, 29 MiB, 0 %
2026/08/06 10:22:46.512, 2, 0 MiB, 0 %
2026/08/06 10:22:46.512, 3, 0 MiB, 0 %
2026/08/06 10:22:46.512, 4, 0 MiB, 0 %
2026/08/06 10:22:46.512, 5, 0 MiB, 0 %
2026/08/06 10:22:46.513, 6, 0 MiB, 0 %
2026/08/06 10:22:46.513, 7, 0 MiB, 0 %
2026/08/06 10:22:47.514, 0, 819 MiB, 0 %
2026/08/06 10:22:47.523, 1, 819 MiB, 0 %
2026/08/06 10:22:47.523, 2, 0 MiB, 0 %
2026/08/06 10:22:47.523, 3, 0 MiB, 0 %
2026/08/06 10:22:47.523, 4, 0 MiB, 0 %
2026/08/06 10:22:47.523, 5, 0 MiB, 0 %
2026/08/06 10:22:47.523, 6, 0 MiB, 0 %
2026/08/06 10:22:47.523, 7, 0 MiB, 0 %
2026/08/06 10:22:48.523, 0, 1851 MiB, 0 %
2026/08/06 10:22:48.523, 1, 1851 MiB, 0 %
2026/08/06 10:22:48.523, 2, 0 MiB, 0 %
