parallelism,method,cases,median_tv,p90_tv,p95_tv
TP,h0,648,0.17748178506375226,0.4180676834130781,0.57421875
TP,h0_plus_dnn_residual,648,0.16062655004460646,0.3852977536332388,0.5645133975648163
PP,h0,648,0.0777931217972752,0.7617126738051229,0.8526660711703158
PP,h0_plus_dnn_residual,648,0.05386615562514325,0.32914687911416984,0.6449424954785323
PD,h0,1800,0.06666666666666679,0.3224326526699266,0.48899835399434416
PD,h0_plus_dnn_residual,1800,0.06512329156916791,0.2703163071057483,0.4090525633061676
