model_id,configuration,topology_level,pair_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
qwen3-8b,P2D1,L2,qwen3-8b__dev_03__p64_p64,446.3755,454.8325,454.8325,0.01859365810490674,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_04__p256_p256,1694.656,1712.873,1712.873,0.010635347746155202,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_05__p4096_p4096,27091.148,27144.557,27144.557,0.001967576777915353,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_06__p1_p64,262.0265,260.09000000000003,262.0265,0.0073904738642845925,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_07__p4_p256,931.5509999999999,932.6890000000001,932.6890000000001,0.0012201280383923765,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_08__p16_p1024,3642.776,3634.012,3642.776,0.0024058575108652494,False
qwen3-8b,P2D1,L2,qwen3-8b__dev_09__p64_p4096,14968.478,14940.865,14968.478,0.0018447433332900898,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_00__p1_p1,73.048,73.0235,73.048,0.00033539590406312693,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_01__p4_p4,79.0545,78.623,79.0545,0.005458259808107062,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_02__p16_p16,114.018,113.65549999999999,114.018,0.003179322563104171,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_03__p64_p64,454.985,422.217,454.985,0.07201995670186935,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_04__p256_p256,1714.397,1656.31,1714.397,0.03388188383437441,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_05__p4096_p4096,27209.804,27029.928,27209.804,0.006610705464839078,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_06__p1_p64,259.21950000000004,259.89149999999995,259.89149999999995,0.0025856944147842923,False
qwen3-8b,P2D1,L3,qwen3-8b__dev_07__p4_p256,929.4894999999999,927.238,929.4894999999999,0.0024222974008849493,False
