model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_ideal_us,phase51_serial_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,matched_solo_absolute_error_us,phase51_contention_ratio,matched_solo_contention_ratio,cross_replica_relative_spread
qwen3-8b,P1D2,L1,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,94.6865,94.6865,94.6865,189.373,76.97550000000001,78.91499999999999,15.771500000000003,1.9394999999999811,0.8334345445232424,1.0251963287019894,0.003731863397326229
qwen3-8b,P1D2,L1,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,102.9795,102.9795,102.9795,205.959,81.32300000000001,86.13,16.849500000000006,4.806999999999988,0.8363800562247825,1.0591099688894898,0.03420411006617901
qwen3-8b,P1D2,L1,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,135.1405,135.1405,135.1405,270.281,110.44749999999999,135.83249999999998,0.6919999999999789,25.38499999999999,1.0051205967123105,1.229837705697277,0.008050356137154052
qwen3-8b,P1D2,L1,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,302.6805,302.6805,302.6805,605.361,275.6365,438.5725,135.892,162.93599999999998,1.4489618591220776,1.591126356632739,0.0008071641518790736
qwen3-8b,P1D2,L1,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,982.996,982.996,982.996,1965.992,968.39,1690.085,707.089,721.695,1.7193203227683531,1.7452524292898524,0.003211081099471408
qwen3-8b,P1D2,L1,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14889.798,14889.798,14889.798,29779.596,14853.174,26824.295,11934.496999999998,11971.120999999997,1.8015217533508512,1.80596382968381,0.0016371352909739934
qwen3-8b,P1D2,L1,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,94.6865,302.6805,302.6805,397.36699999999996,258.7625,260.9515,41.728999999999985,2.1890000000000214,0.8621351557170019,1.0084594947104006,0.001550096473865774
qwen3-8b,P1D2,L1,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,102.9795,982.996,982.996,1085.9755,928.0465,928.415,54.58100000000002,0.36849999999992633,0.944474850355444,1.0003970706209224,0.0030681322468938403
qwen3-8b,P1D2,L1,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,135.1405,3619.135,3619.135,3754.2755,3575.841,3569.236,49.89900000000034,6.605000000000018,0.9862124513177871,0.9981528820772512,0.0020959667559107237
qwen3-8b,P1D2,L1,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,302.6805,14889.798,14889.798,15192.478500000001,14496.872,14459.668,430.130000000001,37.20399999999972,0.9711124355078558,0.9974336532736165,0.0025316625526948457
qwen3-8b,P1D2,L2,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,83.14150000000001,83.14150000000001,83.14150000000001,166.28300000000002,70.59649999999999,78.487,4.654500000000013,7.890500000000003,0.9440171274273376,1.1117689970465958,0.0007771987717712112
qwen3-8b,P1D2,L2,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,96.791,96.791,96.791,193.582,77.152,84.55199999999999,12.239000000000004,7.3999999999999915,0.8735522930851009,1.0959145582745748,0.033103888731194915
qwen3-8b,P1D2,L2,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,130.2485,130.2485,130.2485,260.497,109.0415,133.3775,3.1289999999999907,24.336,1.0240233092895503,1.223181082431918,0.0006222938651571548
qwen3-8b,P1D2,L2,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,296.07550000000003,296.07550000000003,296.07550000000003,592.1510000000001,275.09000000000003,443.2145,147.13899999999995,168.12449999999995,1.4969644567010778,1.611161801592206,0.012119413963216514
qwen3-8b,P1D2,L2,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,989.2864999999999,989.2864999999999,989.2864999999999,1978.5729999999999,968.668,1693.214,703.9275,724.5459999999999,1.7115506984073876,1.7479817646500142,0.0037059698301572415
qwen3-8b,P1D2,L2,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14866.001,14866.001,14866.001,29732.002,14952.585,26909.174,12043.172999999999,11956.589,1.8101151748879876,1.799633575064111,0.0016842954748443903
qwen3-8b,P1D2,L2,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,83.14150000000001,296.07550000000003,296.07550000000003,379.21700000000004,259.631,261.2825,34.793000000000006,1.6515000000000555,0.8824860550771678,1.0063609507339264,0.0034311521054799306
qwen3-8b,P1D2,L2,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,96.791,989.2864999999999,989.2864999999999,1086.0774999999999,926.6659999999999,926.0675,63.21899999999994,0.5984999999999445,0.9360963684433176,0.9993541362259973,0.0029565879377042633
qwen3-8b,P1D2,L2,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,130.2485,3656.8725,3656.8725,3787.121,3574.072,3575.659,81.21349999999984,1.586999999999989,0.9777915418161285,1.0004440313457592,0.001990681997360469
qwen3-8b,P1D2,L2,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,296.07550000000003,14866.001,14866.001,15162.076500000001,14536.854,14478.611,387.3899999999994,58.242999999998574,0.973941209878837,0.9959934247121146,0.0029433071998413106
qwen3-8b,P1D2,L3,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,85.2085,85.2085,85.2085,170.417,71.27350000000001,79.1225,6.0859999999999985,7.8489999999999895,0.9285752008309031,1.1101250815520494,0.007703244968245405
qwen3-8b,P1D2,L3,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,98.729,98.729,98.729,197.458,75.8625,84.447,14.281999999999996,8.584500000000006,0.8553413890548877,1.1131586752348,0.012019373097919412
qwen3-8b,P1D2,L3,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,132.832,132.832,132.832,265.664,109.06,135.2855,2.4535000000000196,26.22550000000001,1.0184706998313662,1.2404685494223364,0.0016594535260618067
qwen3-8b,P1D2,L3,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,301.36,301.36,301.36,602.72,274.2935,442.9375,141.5775,168.644,1.4697952614812848,1.614830464447754,0.014118244673345631
qwen3-8b,P1D2,L3,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,986.4895,986.4895,986.4895,1972.979,971.701,1690.171,703.6815,718.47,1.7133187935603977,1.7393941140330205,0.00038220984740594777
qwen3-8b,P1D2,L3,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14840.835,14840.835,14840.835,29681.67,14927.581,26858.276,12017.441000000003,11930.695000000002,1.809755044106346,1.79923833607066,0.0005638113183437398
qwen3-8b,P1D2,L3,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,85.2085,301.36,301.36,386.56850000000003,258.889,261.19,40.170000000000016,2.3009999999999877,0.8667042739580567,1.0088879790180347,0.002712584708449845
qwen3-8b,P1D2,L3,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,98.729,986.4895,986.4895,1085.2185,927.706,929.6514999999999,56.83800000000008,1.9454999999999245,0.9423835732666186,1.002097108351137,0.0057247258784607884
qwen3-8b,P1D2,L3,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,132.832,3661.7195,3661.7195,3794.5515,3577.121,3578.725,82.99450000000024,1.6039999999998145,0.9773345555278059,1.0004484052957672,0.0024497551502280354
qwen3-8b,P1D2,L3,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,301.36,14840.835,14840.835,15142.195,14558.612,14471.068,369.7669999999998,87.54399999999987,0.9750844881706454,0.9939867893999785,0.004039784762257984
qwen3-8b,P2D1,L1,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,94.6865,94.6865,94.6865,189.373,77.88300000000001,77.5255,17.161,0.3575000000000159,0.8187598020837183,0.9954097813386745,0.030789869139831418
qwen3-8b,P2D1,L1,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,102.9795,102.9795,102.9795,205.959,83.93950000000001,84.096,18.883499999999998,0.1564999999999941,0.816628552284678,1.0018644380774246,0.04405679223744307
qwen3-8b,P2D1,L1,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,135.1405,135.1405,135.1405,270.281,115.775,153.0355,17.89500000000001,37.26050000000001,1.1324177430156024,1.3218354567048154,0.007557070091580019
qwen3-8b,P2D1,L1,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,302.6805,302.6805,302.6805,605.361,277.8725,462.957,160.2765,185.0845,1.529523705689663,1.6660770677199075,0.0020671466248485143
qwen3-8b,P2D1,L1,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,982.996,982.996,982.996,1965.992,978.089,1711.935,728.939,733.8459999999999,1.741548287073396,1.7502855057157374,0.0014241194905179663
qwen3-8b,P2D1,L1,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14889.798,14889.798,14889.798,29779.596,14967.46,27202.133,12312.335000000001,12234.673000000003,1.8268973830269557,1.81741811903957,0.0007336557026613374
qwen3-8b,P2D1,L1,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,94.6865,302.6805,302.6805,397.36699999999996,258.54449999999997,259.6895,42.990999999999985,1.1450000000000387,0.8579657427551495,1.0044286380100913,0.0021621975474558023
qwen3-8b,P2D1,L1,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,102.9795,982.996,982.996,1085.9755,927.98,928.1055,54.890499999999975,0.12549999999998818,0.9441599965818783,1.0001352399836203,0.005052766091785851
qwen3-8b,P2D1,L1,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,135.1405,3619.135,3619.135,3754.2755,3642.906,3643.611,24.475999999999658,0.7049999999999272,1.0067629419737036,1.0001935268162285,0.02040558116659542
qwen3-8b,P2D1,L1,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,302.6805,14889.798,14889.798,15192.478500000001,14943.43,14910.997,21.198999999998705,32.4330000000009,1.0014237265005206,0.9978296147537746,0.0037648052641951982
qwen3-8b,P2D1,L2,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,83.14150000000001,83.14150000000001,83.14150000000001,166.28300000000002,71.657,73.031,10.110500000000002,1.3740000000000094,0.8783940631333329,1.0191746793753578,0.024380057783681144
qwen3-8b,P2D1,L2,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,96.791,96.791,96.791,193.582,75.634,77.6385,19.152500000000003,2.004499999999993,0.802125197590685,1.0265026310918368,0.028375097406570234
qwen3-8b,P2D1,L2,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,130.2485,130.2485,130.2485,260.497,109.921,123.83850000000001,6.409999999999997,13.917500000000004,0.9507863814170605,1.1266136589004832,0.10952975044109874
qwen3-8b,P2D1,L2,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,296.07550000000003,296.07550000000003,296.07550000000003,592.1510000000001,275.676,454.8325,158.75699999999995,179.1565,1.5362044478519834,1.6498806570031486,0.01859365810490674
qwen3-8b,P2D1,L2,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,989.2864999999999,989.2864999999999,989.2864999999999,1978.5729999999999,967.177,1712.873,723.5865000000001,745.696,1.731422595982054,1.7710026189621961,0.010635347746155202
qwen3-8b,P2D1,L2,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14866.001,14866.001,14866.001,29732.002,14946.401,27144.557,12278.556,12198.156,1.8259488210716521,1.8161266381117436,0.001967576777915353
qwen3-8b,P2D1,L2,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,83.14150000000001,296.07550000000003,296.07550000000003,379.21700000000004,259.509,262.0265,34.049000000000035,2.517499999999984,0.8849989276383894,1.009701012296298,0.0073904738642845925
qwen3-8b,P2D1,L2,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,96.791,989.2864999999999,989.2864999999999,1086.0774999999999,929.033,932.6890000000001,56.597499999999854,3.6560000000000628,0.9427895761238025,1.0039352746350239,0.0012201280383923765
qwen3-8b,P2D1,L2,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,130.2485,3656.8725,3656.8725,3787.121,3623.059,3642.776,14.096500000000106,19.716999999999643,0.9961452033123933,1.0054420863695568,0.0024058575108652494
qwen3-8b,P2D1,L2,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,296.07550000000003,14866.001,14866.001,15162.076500000001,14870.074,14968.478,102.47699999999895,98.40399999999863,1.006893380405396,1.0066175864356828,0.0018447433332900898
qwen3-8b,P2D1,L3,qwen3-8b__dev_00__p1_p1,1,1,147456,147456,85.2085,85.2085,85.2085,170.417,73.572,73.048,12.160499999999999,0.5240000000000009,0.857285364723003,0.9928777252215517,0.00033539590406312693
qwen3-8b,P2D1,L3,qwen3-8b__dev_01__p4_p4,4,4,589824,589824,98.729,98.729,98.729,197.458,79.1165,79.0545,19.674499999999995,0.06199999999999761,0.8007221788937395,0.9992163455157901,0.005458259808107062
qwen3-8b,P2D1,L3,qwen3-8b__dev_02__p16_p16,16,16,2359296,2359296,132.832,132.832,132.832,265.664,109.05199999999999,114.018,18.813999999999993,4.966000000000008,0.8583624427848712,1.0455379085207057,0.003179322563104171
qwen3-8b,P2D1,L3,qwen3-8b__dev_03__p64_p64,64,64,9437184,9437184,301.36,301.36,301.36,602.72,274.878,454.985,153.625,180.10700000000003,1.509772365277409,1.6552252271916996,0.07201995670186935
qwen3-8b,P2D1,L3,qwen3-8b__dev_04__p256_p256,256,256,37748736,37748736,986.4895,986.4895,986.4895,1972.979,968.683,1714.397,727.9074999999999,745.7139999999999,1.7378765815551,1.7698225322422299,0.03388188383437441
qwen3-8b,P2D1,L3,qwen3-8b__dev_05__p4096_p4096,4096,4096,603979776,603979776,14840.835,14840.835,14840.835,29681.67,14941.942,27209.804,12368.969000000001,12267.862000000001,1.8334415819595058,1.8210353112065354,0.006610705464839078
qwen3-8b,P2D1,L3,qwen3-8b__dev_06__p1_p64,1,64,147456,9437184,85.2085,301.36,301.36,386.56850000000003,259.15,259.89149999999995,41.46850000000006,0.7414999999999736,0.8623954738518713,1.0028612772525562,0.0025856944147842923
qwen3-8b,P2D1,L3,qwen3-8b__dev_07__p4_p256,4,256,589824,37748736,98.729,986.4895,986.4895,1085.2185,929.057,929.4894999999999,57.000000000000114,0.43249999999989086,0.9422193545901907,1.000465525796587,0.0024222974008849493
qwen3-8b,P2D1,L3,qwen3-8b__dev_08__p16_p1024,16,1024,2359296,150994944,132.832,3661.7195,3661.7195,3794.5515,3611.058,3602.966,58.75350000000026,8.092000000000098,0.9839546693841513,0.9977591055031517,0.0007024767927313078
qwen3-8b,P2D1,L3,qwen3-8b__dev_09__p64_p4096,64,4096,9437184,603979776,301.36,14840.835,14840.835,15142.195,14980.129,14944.78,103.94500000000153,35.34900000000016,1.0070039859617064,0.9976402739923,0.003005263376242438
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_00__p1_p1,1,1,1990656,1990656,83.4885,83.4885,83.4885,166.977,75.6645,91.721,8.232500000000002,16.0565,1.0986063948927098,1.2122065169266962,0.05928849445601337
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_01__p4_p4,4,4,7962624,7962624,257.9,257.9,257.9,515.8,226.732,358.226,100.32600000000002,131.494,1.3890112446684764,1.5799534251892102,0.0020336323996583074
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_02__p8_p8,8,8,15925248,15925248,461.95000000000005,461.95000000000005,461.95000000000005,923.9000000000001,423.8525,704.3105,242.3605,280.458,1.524646606775625,1.661687733350635,0.004072777560465221
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__dev_03__p16_p16,16,16,31850496,31850496,850.031,850.031,850.031,1700.062,809.5585,1435.6295,585.5985000000001,626.071,1.6889142866554279,1.773348683263779,0.017962155277528105
