slice_type,slice_value,points,phase51_wape,matched_solo_wape,phase51_signed_bias,matched_solo_signed_bias,mean_phase51_contention_ratio,mean_matched_solo_contention_ratio
config_topology,P1D2/L1,20,0.2792655549805126,0.27299931291222196,-0.256700976087751,-0.2716561344889244,1.2296619114767,1.319552380182028
config_topology,P1D2/L2,20,0.28117621288557826,0.2724373950462282,-0.2580136420182304,-0.27063743425188663,1.2499597093505979,1.3301411580038844
config_topology,P1D2/L3,20,0.28088073242156286,0.272527939284218,-0.25790170714555316,-0.2698488662054337,1.2459277236312,1.332155589726616
config_topology,P2D1/L1,20,0.2775147487442174,0.2745305206149225,-0.2696422194923318,-0.2728130786182245,1.2649263523213778,1.3430100410826806
config_topology,P2D1/L2,20,0.2773901492857339,0.27468704012258677,-0.2690783827904787,-0.27458744784598443,1.2507864543202039,1.3248923351944846
config_topology,P2D1/L3,20,0.2783323654895877,0.2729887174418751,-0.267695395557681,-0.271630137517261,1.2326760702476913,1.3088150597848804
configuration,P1D2,60,0.2804416667712125,0.2726546379212968,-0.25753936235340813,-0.2707135474892054,1.241849781486166,1.3272830426375095
configuration,P2D1,60,0.277745314203749,0.2740695731866105,-0.26880620002973427,-0.27301119363905474,1.2494629589630908,1.3255724786873486
model,deepseek-v2-lite,60,0.2921819442054734,0.29057771600804316,-0.27461312510531266,-0.2900145521239225,1.3376326402009993,1.4037176045204516
model,qwen3-8b,60,0.27457313967978425,0.26744185840705076,-0.2592916485906241,-0.26562418821187517,1.153680100248258,1.2491379168044066
overall,all,120,0.27908318299410906,0.2733675145038234,-0.2632158515437462,-0.27187115390082933,1.2456563702246286,1.326427760662429
topology,L1,40,0.2783824643161228,0.2737716400832502,-0.263228420986716,-0.27223968653404823,1.247294131899039,1.3312812106323544
topology,L2,40,0.27926896030167464,0.27357066744686287,-0.2635875725324885,-0.27262727764334654,1.2503730818354009,1.3275167465991846
topology,L3,40,0.27959808522027696,0.27275985871737213,-0.2628310785302091,-0.2707454178888583,1.2393018969394458,1.3204853247557482
