backend,algorithm,topology,group_size,payload_bytes,repeats,median_latency_us,min_latency_us,max_latency_us,latency_cv,median_algorithmic_bandwidth_GBps,latency_scope
nccl,,single-node-nvlink,2,8192,3,43.487999588251114,36.43200173974037,44.255999848246574,0.10418957092523772,0.1883738060513867,cuda-event-call-envelope
nccl,,single-node-nvlink,2,16384,3,44.576000422239304,44.47999969124794,45.552000403404236,0.013219546958874739,0.3675520424624255,cuda-event-call-envelope
nccl,,single-node-nvlink,2,32768,3,43.42399910092354,42.688000947237015,44.5920005440712,0.022037579030200313,0.7546057635972799,cuda-event-call-envelope
nccl,,single-node-nvlink,2,49152,3,45.45599967241287,43.43999922275543,45.48799991607666,0.026192519707155814,1.0813094058919184,cuda-event-call-envelope
nccl,,single-node-nvlink,2,65536,3,44.87999901175499,43.487999588251114,49.02400076389313,0.06288027470863942,1.4602495865214877,cuda-event-call-envelope
nccl,,single-node-nvlink,2,131072,3,44.99199986457825,44.47999969124794,45.53600028157234,0.011734440156470386,2.913229027260726,cuda-event-call-envelope
nccl,,single-node-nvlink,2,262144,3,45.504000037908554,45.343998819589615,50.71999877691269,0.0648174677991688,5.760900135847675,cuda-event-call-envelope
nccl,,single-node-nvlink,2,524288,3,44.943999499082565,43.95200125873089,48.49600046873093,0.052168245041923834,11.665361468569397,cuda-event-call-envelope
nccl,,single-node-nvlink,2,1048576,3,45.48799991607666,44.38399896025658,50.73599889874458,0.0724103159155729,23.05170598695428,cuda-event-call-envelope
nccl,,single-node-nvlink,2,2097152,3,45.584000647068024,45.56800052523613,46.959999948740005,0.01735748765721755,46.00631735325516,cuda-event-call-envelope
nccl,,single-node-nvlink,2,4194304,3,46.640001237392426,46.33599892258644,47.600001096725464,0.014079837349254056,89.92932866042302,cuda-event-call-envelope
nccl,,single-node-nvlink,2,8388608,3,47.648001462221146,47.55200073122978,47.68000170588493,0.0013986663786026464,176.05372193104694,cuda-event-call-envelope
nccl,,single-node-nvlink,2,16777216,3,58.88000130653381,58.88000130653381,58.88000130653381,0.0,284.9391241120482,cuda-event-call-envelope
nccl,,single-node-nvlink,2,33554432,3,85.67999675869942,85.66399663686752,85.7279971241951,0.0003886877314494003,391.62503815796526,cuda-event-call-envelope
nccl,,single-node-nvlink,2,67108864,3,155.16799688339233,155.15200048685074,155.2800014615059,0.00044937995484984375,432.4916564491829,cuda-event-call-envelope
nccl,,single-node-nvlink,2,134217728,3,284.1919958591461,284.0000092983246,284.4800055027008,0.0008500111815530011,472.2783539143806,cuda-event-call-envelope
nccl,,single-node-nvlink,2,268435456,3,532.0640206336975,532.0640206336975,532.0800244808197,1.7365829008769483e-05,504.5172114443835,cuda-event-call-envelope
nccl,,single-node-nvlink,2,536870912,3,1008.1120133399963,1008.0000162124634,1008.895993232727,0.00048414829700205934,532.5508523812568,cuda-event-call-envelope
nccl,,single-node-nvlink,2,1073741824,3,1903.1839966773987,1903.040051460266,1903.1839966773987,4.36683501377275e-05,564.1818268094684,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PULL,single-node-nvlink,2,8388608,3,56.36800080537796,54.71999943256378,58.9120015501976,0.03726882342198345,148.81861836759802,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PULL,single-node-nvlink,2,16777216,3,58.9120015501976,58.800000697374344,59.95199829339981,0.01072666562319019,284.7843488343289,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,8192,3,54.687999188899994,48.96000027656555,55.84000051021576,0.06931391433675667,0.1497952040941137,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,16384,3,49.34399947524071,47.887999564409256,53.74399945139885,0.06058267392272409,0.3320363200032252,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,32768,3,52.60800011456013,48.54400083422661,55.87200075387955,0.07014094727695311,0.6228710448723352,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,49152,3,53.82400006055832,48.54400083422661,55.695999413728714,0.07039287958859744,0.9131985720997738,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,65536,3,53.07199992239475,48.22399839758873,55.776000022888184,0.07308217678145616,1.2348507705726355,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,131072,3,54.84800040721893,53.79199981689453,55.71199953556061,0.01755254370223504,2.3897316041944294,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,262144,3,49.456000328063965,48.46400022506714,54.41599898040295,0.06279867786034403,5.300549948663065,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,524288,3,48.79999905824661,47.93599992990494,54.84800040721893,0.0745346971178677,10.743606764709591,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,1048576,3,49.15200173854828,48.35199937224388,55.80800026655197,0.08009889776134115,21.333332578755115,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,2097152,3,48.11200127005577,47.359999269247055,53.92000079154968,0.07209379120166833,43.588957944787005,cuda-event-call-envelope
sglang_custom_all_reduce_v2,ONE_SHOT_PUSH,single-node-nvlink,2,4194304,3,52.89600044488907,47.55200073122978,53.807999938726425,0.06572586774071344,79.29340526170657,cuda-event-call-envelope
