configuration,cases,h0_agreement_rate,dnn_agreement_rate,h0_mean_teacher_regret,dnn_mean_teacher_regret,weak_improvement
P1D1,1800,0.9944444444444445,0.9966666666666667,6.530045578147131e-06,1.8532638670526653e-06,True
P1D2,1800,0.9944444444444445,0.9966666666666667,6.948235184294411e-06,1.9623563921903218e-06,True
P1D4,600,0.9833333333333333,0.99,2.249872042450905e-06,6.405864598359026e-07,True
P2D1,1800,0.9944444444444445,0.9966666666666667,6.948235184294411e-06,1.9623563921903218e-06,True
P2D2_ALL_TO_ALL,600,0.9833333333333333,0.99,8.431431842893655e-07,2.406051194995121e-07,True
P2D2_MATCHING,600,0.9833333333333333,0.99,5.431185239222432e-06,1.5464993640110912e-06,True
P4D1,600,0.9833333333333333,0.99,2.9586145551616726e-06,8.425461549015169e-07,True
