phase,metric,h0_wape,refined_wape,relative_ratio,target_met
Phase58,calls_histogram_wape,0.25533391579991443,0.2172720204704965,0.8509328648715664,False
Phase58,bytes_histogram_wape,0.23211527704615775,0.19564468489867592,0.8428772435334819,False
Phase59,calls_histogram_wape,0.25533391579991443,0.18933003722084432,0.7414997597467926,False
Phase59,bytes_histogram_wape,0.23211527704615775,0.17292158511246483,0.7449814907188472,False
