configuration,mean_relative_cost_range,max_relative_cost_range,placement_stability_rate,official_policy
P1D1,0.0,0.0,1.0,bin_aligned
P1D2,0.01309763337809462,0.24269683933674496,0.9955555555555555,bin_aligned
P2D1,0.01309763337809462,0.24269683933674496,0.9955555555555555,bin_aligned
P1D4,0.03055910409737053,0.2852828440219838,0.925,bin_aligned
P4D1,0.03186897637548605,0.31647727359623645,0.9183333333333333,bin_aligned
P2D2_MATCHING,0.13041870726616964,0.9815086041577907,0.9866666666666667,bin_aligned
P2D2_ALL_TO_ALL,0.13832572786288747,0.9658724518434845,0.6766666666666666,bin_aligned
