parallelism,phase34_calls_wape,phase33_calls_wape,phase34_vs_phase33_calls_relative_change,phase34_cost_wape,phase33_cost_wape,phase34_vs_phase33_cost_relative_change,phase34_tv,phase33_tv,phase34_emd,phase33_emd
tp,0.0779825554689227,0.08423161992275767,-0.0741890570259186,0.04811709676169378,0.051972918582191385,-0.07418905702591827,0.1773150124825697,0.1774192571767548,0.018360412411930507,0.01831667794655756
pp,0.045196104998566335,0.06426126113357468,-0.2966819480149814,0.03476062891681365,0.04942376897437302,-0.29668194801498116,0.1415897331992009,0.1698707284375274,0.017997473660583775,0.023511950718124678
