parallelism,selected_candidate_id,models,profiles,prediction_rows
tp,tp33_c10_shared_trunk_small_heads_policy_lr0.003_w64_5fold_3seed_alpha0.75,3,12,1296
pp,pp33_anchor_blend_1_phase32_incumbent_calls_shape,3,12,1296
