scope,model,samples,mape,median_ape,p95_ape,mae_us,r2
decode_equal_payload_holdout,total_bytes_only,6,0.6326833181155571,0.6323079944349019,0.7032891118646665,9448.1345,-11.56658094981755
decode_equal_payload_holdout,three_hard_bins,6,0.008607873166632172,0.007919500175036042,0.015617611489079312,131.1394613244926,0.9968567970780705
decode_equal_payload_holdout,continuous_histogram,6,0.00861176087123993,0.007111808478898701,0.015304236784258926,132.01309564767357,0.9968240052891619
prefill_payload_holdout,total_bytes_only,4,1.693552054946881,1.7191477728475766,2.196599471884663,5434.119999999999,-9.921229981277227
prefill_payload_holdout,three_hard_bins,4,0.09431413556996224,0.10959896110918879,0.1290579275901658,340.1758247344006,0.9504508033640511
prefill_payload_holdout,continuous_histogram,4,0.014929416851962089,0.012625631369992014,0.027974290677537435,41.80408945139391,0.9992727327654589
decode_tp2,total_bytes_only,2,0.6360558611933982,0.6360558611933982,0.6969953449005502,9056.672000000002,-12.155757498317893
decode_tp2,three_hard_bins,2,0.003751655651614421,0.003751655651614421,0.004788635675860521,55.37462831855828,0.9994466729544176
decode_tp2,continuous_histogram,2,0.005655368753199855,0.005655368753199855,0.007017273881498293,82.89260606162406,0.9987915629503389
decode_tp4,total_bytes_only,2,0.6337103375833091,0.6337103375833091,0.6950425601274992,9414.627499999999,-12.071038285843967
decode_tp4,three_hard_bins,2,0.014152463673246051,0.014152463673246051,0.01678972974174592,214.07046519314645,0.9928648559067239
decode_tp4,continuous_histogram,2,0.005066630370103677,0.005066630370103677,0.006856181292849721,79.1833281291456,0.9988979066505157
decode_tp8,total_bytes_only,2,0.6282837555699642,0.6282837555699642,0.6894719741729134,9873.104,-12.271766809461589
decode_tp8,three_hard_bins,2,0.007919500175036042,0.007919500175036042,0.008538478624002418,123.9732904617731,0.997928694494497
decode_tp8,continuous_histogram,2,0.015113283490416258,0.015113283490416258,0.01545699941933306,233.963352752251,0.9928129059575515
