candidate_id,model,alpha,strict_gate,composite_ratio,ratio_calls_histogram_wape,ratio_bytes_histogram_wape,ratio_mean_calls_histogram_tv,ratio_mean_normalized_log_payload_emd
pd48_causal_w32_d1,qwen3-8b,0.05,True,0.9896715023991871,0.9894692215918853,0.9938789874969626,0.9889577897013414,0.986380010806559
pd48_causal_w32_d1,qwen3-8b,0.1,True,0.9810623376446785,0.9802603682924933,0.9888896813324447,0.9793683276539584,0.975730973299818
pd48_causal_w32_d1,qwen3-8b,0.25,True,0.9649517979668456,0.9633140937788118,0.9772770706584976,0.959910309282335,0.9593057181477377
pd48_causal_w32_d1,qwen3-8b,0.5,True,0.9639371629568737,0.9632630294205925,0.9715912515304732,0.9524905662249986,0.9684038046514308
pd48_causal_w32_d1,qwen3-8b,0.75,False,0.9903673217145481,0.9878984299733488,0.9920719568551161,0.9690721494259117,1.012426750603816
pd48_causal_w32_d1,qwen3-8b,1.0,False,1.0393045698540782,1.0357805426392892,1.037168960573628,1.0078662047721803,1.0764025714312155
pd48_causal_w32_d1,deepseek-v2-lite,0.05,True,0.9731784187603101,0.97187944957877,0.9770887110413186,0.9716901186131517,0.9720553958079997
pd48_causal_w32_d1,deepseek-v2-lite,0.1,True,0.9481063913807638,0.9458442882015148,0.9555691729399449,0.9451157544363064,0.9458963499452889
pd48_causal_w32_d1,deepseek-v2-lite,0.25,True,0.8888979486366491,0.8856365264374776,0.902527453121804,0.8819847684392563,0.8854430465480585
pd48_causal_w32_d1,deepseek-v2-lite,0.5,True,0.8382210991309873,0.8381421986431998,0.8450732324433882,0.8283267809822362,0.8413421844551252
pd48_causal_w32_d1,deepseek-v2-lite,0.75,True,0.8332794277033853,0.8418311854538415,0.8294441744656902,0.8209843820347212,0.8408579688592879
pd48_causal_w32_d1,deepseek-v2-lite,1.0,True,0.8719752345900673,0.8926248905969416,0.8544401995117922,0.8566577424294061,0.8841781058221293
pd48_causal_w32_d1,qwen3-30b-a3b,0.05,True,0.9879647553741339,0.9894006607649585,0.985045908609721,0.9892011293026103,0.9882113228192456
pd48_causal_w32_d1,qwen3-30b-a3b,0.1,True,0.9764895014642491,0.9790064257541042,0.9709602655922281,0.9786506717171395,0.9773406427935245
pd48_causal_w32_d1,qwen3-30b-a3b,0.25,True,0.9452924964825606,0.9495528785157095,0.9345935214310722,0.9483696873740662,0.9486538986093944
pd48_causal_w32_d1,qwen3-30b-a3b,0.5,True,0.900889760787642,0.9040759210264844,0.8903005385981865,0.9002284512709942,0.9089541322549028
pd48_causal_w32_d1,qwen3-30b-a3b,0.75,True,0.8631382123735005,0.8626267825711607,0.8594454807822599,0.8549754228193576,0.8755051633212235
pd48_causal_w32_d1,qwen3-30b-a3b,1.0,True,0.8321047714051759,0.8258711699374628,0.8437205652247671,0.8133234926360585,0.8455038578224154
pd48_causal_w32_d1,llama-3.2-3b-instruct,0.05,True,0.9884656904330243,0.9893322770146035,0.9874142002991371,0.9891427070381373,0.9879735773802197
pd48_causal_w32_d1,llama-3.2-3b-instruct,0.1,True,0.9776376141022605,0.9792513215102169,0.9753685578668199,0.9786545094243052,0.9772760676077002
