model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_00__p2_p2,2,2,196608,196608,121.03899999999999,121.03899999999999,121.03899999999999,111.25557422726921,91.973,95.0455,25.993499999999983,16.210074227269203,3.072500000000005,25.993499999999983,16.210074227269203,0.01062122877990018
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_01__p8_p8,8,8,786432,786432,128.6755,128.6755,128.6755,125.20425209745945,97.78999999999999,100.6785,27.997,24.525752097459446,2.8885000000000076,27.997,24.525752097459446,0.012073084124217244
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_02__p32_p32,32,32,3145728,3145728,170.2275,170.2275,170.2275,201.10230262612356,137.8615,178.60649999999998,8.37899999999999,22.495802626123577,40.744999999999976,-8.37899999999999,22.495802626123577,0.1175937045964172
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_03__p128_p128,128,128,12582912,12582912,394.329,394.329,394.329,610.4416116978751,361.229,592.658,198.329,17.78361169787513,231.42900000000003,-198.329,17.78361169787513,0.05371057169564908
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_04__p512_p512,512,512,50331648,50331648,1256.1805,1256.1805,1256.1805,2184.6822907314945,1267.884,2230.705,974.5245,46.02270926850542,962.8209999999999,-974.5245,-46.02270926850542,0.017260910788293345
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_05__p2048_p2048,2048,2048,201326592,201326592,4885.120000000001,4885.120000000001,4885.120000000001,8813.23046016895,4851.567,8792.767,3907.646999999999,20.463460168950405,3941.2,-3907.646999999999,20.463460168950405,0.0029475363102422097
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_06__p2_p32,2,32,196608,3145728,121.03899999999999,170.2275,170.2275,159.28708230519572,126.348,133.715,36.51249999999999,25.57208230519572,7.367000000000004,36.51249999999999,25.57208230519572,0.00043001907041098267
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_07__p8_p128,8,128,786432,12582912,128.6755,394.329,394.329,384.6091583495194,340.63199999999995,354.1605,40.168499999999995,30.448658349519405,13.528500000000065,40.168499999999995,30.448658349519405,0.004259368280765434
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_08__p32_p512,32,512,3145728,50331648,170.2275,1256.1805,1256.1805,1261.511957154083,1221.8245000000002,1228.2930000000001,27.887499999999818,33.21895715408277,6.468499999999949,27.887499999999818,33.21895715408277,0.000971673696748321
qwen3-30b-a3b,P1D2,L1,qwen3-30b-a3b__ext_09__p128_p2048,128,2048,12582912,201326592,394.329,4885.120000000001,4885.120000000001,4995.602049458322,4756.388,4746.901,138.21900000000096,248.7010494583219,9.48700000000008,138.21900000000096,248.7010494583219,0.0017721035260689578
