slice_type,slice_value,points,phase51_wape,corrected_wape,phase51_signed_bias,corrected_signed_bias
configuration,P1D2,120,0.296602077950961,0.02606872838813897,-0.27103366992395206,0.012171953212644354
configuration,P2D1,120,0.29404372128380635,0.02418173054201064,-0.2780709667287591,0.002400645323135224
model,llama-3.2-3b-instruct,60,0.29556765549388714,0.025293892759484418,-0.2766208603739915,-0.004408196039103581
model,mixtral-8x7b-instruct-v0.1,60,0.29590761122523157,0.023073220084346195,-0.27722515324167935,0.0006972941353018741
model,qwen2.5-14b-instruct,60,0.2963193880139762,0.02613956140260988,-0.2764953909294636,0.015147112893798467
model,qwen3-30b-a3b,60,0.2922594670177159,0.025593340761113085,-0.2648910875060232,0.013665713774804158
model_configuration_topology,llama-3.2-3b-instruct/P1D2/L1,10,0.296004054581308,0.027768682379020478,-0.278374614842803,-0.006501865533733454
model_configuration_topology,llama-3.2-3b-instruct/P1D2/L2,10,0.2959247655964616,0.02432384652304348,-0.2719801678697911,0.0016015450860355216
model_configuration_topology,llama-3.2-3b-instruct/P1D2/L3,10,0.2959655604100619,0.02394840608072475,-0.27130842391466947,0.002961764243928677
model_configuration_topology,llama-3.2-3b-instruct/P2D1/L1,10,0.2968766058564823,0.027027450100953945,-0.2841688352604293,-0.014479061588642315
model_configuration_topology,llama-3.2-3b-instruct/P2D1/L2,10,0.29513425611028843,0.02603735085033878,-0.27980747403417433,-0.009167175218146301
model_configuration_topology,llama-3.2-3b-instruct/P2D1/L3,10,0.29350902962284087,0.022661010236388782,-0.27403423427113266,-0.0007900062634231663
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P1D2/L1,10,0.2982253566078821,0.02412293340578705,-0.2745981353813674,0.004759640502785241
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P1D2/L2,10,0.2977109598726388,0.02450099345527643,-0.2758867908542607,0.0021466720590985933
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P1D2/L3,10,0.29775013434990766,0.023038383883381374,-0.2723048600038976,0.007488567890758715
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P2D1/L1,10,0.2941411142341243,0.022118118393854087,-0.2827739184769446,-0.006564698852559052
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P2D1/L2,10,0.295345875793679,0.024303782958636475,-0.2821533972676052,-0.006526086126939938
model_configuration_topology,mixtral-8x7b-instruct-v0.1/P2D1/L3,10,0.29231355791555624,0.020366679870232954,-0.27553742913113366,0.003013099715137247
model_configuration_topology,qwen2.5-14b-instruct/P1D2/L1,10,0.2988037209152818,0.03221129368696584,-0.269281448625444,0.02554740272694964
model_configuration_topology,qwen2.5-14b-instruct/P1D2/L2,10,0.29870744736075333,0.027652292804418256,-0.2727885977059824,0.02006557192786839
model_configuration_topology,qwen2.5-14b-instruct/P1D2/L3,10,0.29732376993865567,0.02520899835907409,-0.2740642564579291,0.018563067095019148
model_configuration_topology,qwen2.5-14b-instruct/P2D1/L1,10,0.29442032408037094,0.026342846885629573,-0.27473702905531927,0.017890615678500033
model_configuration_topology,qwen2.5-14b-instruct/P2D1/L2,10,0.29299876425328664,0.020377715699867675,-0.28331753489311406,0.005296542867400342
model_configuration_topology,qwen2.5-14b-instruct/P2D1/L3,10,0.2957347569138069,0.02516170134866387,-0.28454478806441935,0.0038577952953335486
model_configuration_topology,qwen3-30b-a3b/P1D2/L1,10,0.29184971655829534,0.026306194931446886,-0.25968481369147245,0.021318237693075136
model_configuration_topology,qwen3-30b-a3b/P1D2/L2,10,0.2918890517931482,0.023835491036871104,-0.26163843087438715,0.017668163108395245
model_configuration_topology,qwen3-30b-a3b/P1D2/L3,10,0.2931910376827339,0.02560388641207613,-0.26314259363572273,0.01608722248489805
model_configuration_topology,qwen3-30b-a3b/P2D1/L1,10,0.29381216528950344,0.026896863476059615,-0.2703502913753847,0.006604441361807589
model_configuration_topology,qwen3-30b-a3b/P2D1/L2,10,0.2905686842931736,0.023057902243867466,-0.2673554526926942,0.009788512628784028
model_configuration_topology,qwen3-30b-a3b/P2D1/L3,10,0.2922376432099284,0.027848429297843966,-0.2670641591102968,0.010679592003834906
overall,four_held_out_models,240,0.29531669520193987,0.025120653199877226,-0.2745693848728378,0.007262602316501542
topology,L1,80,0.2957727421672584,0.026893210378588685,-0.2743119198294001,0.007999242157904072
topology,L2,80,0.2950913200773671,0.024241579228448898,-0.27537208390270884,0.005773059572634872
topology,L3,80,0.2950873491219291,0.024232324604349247,-0.27402303880425916,0.008018252560114264
