phase,tp,batch_size,input_len,output_len,left_model,right_model,left_calls,right_calls,calls_ratio,left_logical_payload_bytes,right_logical_payload_bytes,payload_ratio,histogram_tv,log_payload_wasserstein,left_ops_json,right_ops_json
decode,2,1,8192,128,deepseek-v2-lite,qwen3-30b-a3b,6985,12319,1.7636363636363637,28610560,50458624,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,1,8192,512,qwen3-8b,deepseek-v2-lite,37303,28105,1.3272727272727274,305586176,115118080,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,1,8192,512,qwen3-8b,qwen3-30b-a3b,37303,49567,1.3287671232876712,305586176,203026432,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,1,8192,512,deepseek-v2-lite,qwen3-30b-a3b,28105,49567,1.7636363636363637,115118080,203026432,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,32,qwen3-8b,deepseek-v2-lite,2263,1705,1.3272727272727274,37076992,13967360,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,128,32,qwen3-8b,qwen3-30b-a3b,2263,3007,1.3287671232876712,37076992,24633344,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,32,deepseek-v2-lite,qwen3-30b-a3b,1705,3007,1.7636363636363637,13967360,24633344,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,128,qwen3-8b,deepseek-v2-lite,9271,6985,1.3272727272727274,151896064,57221120,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,128,128,qwen3-8b,qwen3-30b-a3b,9271,12319,1.3287671232876712,151896064,100917248,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,128,deepseek-v2-lite,qwen3-30b-a3b,6985,12319,1.7636363636363637,57221120,100917248,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,512,qwen3-8b,deepseek-v2-lite,37303,28105,1.3272727272727274,611172352,230236160,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,128,512,qwen3-8b,qwen3-30b-a3b,37303,49567,1.3287671232876712,611172352,406052864,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,128,512,deepseek-v2-lite,qwen3-30b-a3b,28105,49567,1.7636363636363637,230236160,406052864,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,32,qwen3-8b,deepseek-v2-lite,2263,1705,1.3272727272727274,37076992,13967360,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,2048,32,qwen3-8b,qwen3-30b-a3b,2263,3007,1.3287671232876712,37076992,24633344,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,32,deepseek-v2-lite,qwen3-30b-a3b,1705,3007,1.7636363636363637,13967360,24633344,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,128,qwen3-8b,deepseek-v2-lite,9271,6985,1.3272727272727274,151896064,57221120,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,2048,128,qwen3-8b,qwen3-30b-a3b,9271,12319,1.3287671232876712,151896064,100917248,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,128,deepseek-v2-lite,qwen3-30b-a3b,6985,12319,1.7636363636363637,57221120,100917248,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,512,qwen3-8b,deepseek-v2-lite,37303,28105,1.3272727272727274,611172352,230236160,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,2048,512,qwen3-8b,qwen3-30b-a3b,37303,49567,1.3287671232876712,611172352,406052864,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,2048,512,deepseek-v2-lite,qwen3-30b-a3b,28105,49567,1.7636363636363637,230236160,406052864,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,32,qwen3-8b,deepseek-v2-lite,2263,1705,1.3272727272727274,37076992,13967360,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,8192,32,qwen3-8b,qwen3-30b-a3b,2263,3007,1.3287671232876712,37076992,24633344,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,32,deepseek-v2-lite,qwen3-30b-a3b,1705,3007,1.7636363636363637,13967360,24633344,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,128,qwen3-8b,deepseek-v2-lite,9271,6985,1.3272727272727274,151896064,57221120,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,8192,128,qwen3-8b,qwen3-30b-a3b,9271,12319,1.3287671232876712,151896064,100917248,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,128,deepseek-v2-lite,qwen3-30b-a3b,6985,12319,1.7636363636363637,57221120,100917248,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,512,qwen3-8b,deepseek-v2-lite,37303,28105,1.3272727272727274,611172352,230236160,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,2,8192,512,qwen3-8b,qwen3-30b-a3b,37303,49567,1.3287671232876712,611172352,406052864,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,2,8192,512,deepseek-v2-lite,qwen3-30b-a3b,28105,49567,1.7636363636363637,230236160,406052864,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,4,128,32,qwen3-8b,deepseek-v2-lite,2263,1705,1.3272727272727274,74153984,27934720,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,4,128,32,qwen3-8b,qwen3-30b-a3b,2263,3007,1.3287671232876712,74153984,49266688,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
