round,stage,candidate_id,family,duration_seconds,oof_target,oof_protection,violation_score,oof_score,oof_calls_histogram_wape,oof_bytes_histogram_wape,selected
0,train,p59_r000_train_0,metric_shape_mlp,176.27089895799872,False,True,2.8913081893222157,0.13518030170728684,0.22037126841416416,0.19490186126434955,False
0,train,p59_r000_train_1,metric_shape_mlp,197.8852926249965,False,True,2.477845516352315,0.12715488012820048,0.20328345502055978,0.18961038709385833,False
0,train,p59_r000_train_2,metric_shape_mlp,158.621997041977,False,True,2.8415083027038266,0.1336188863776293,0.21829622728086318,0.1917392679221933,False
0,train,p59_r000_train_3,metric_shape_mlp,223.66395012498833,False,True,2.5552410351654404,0.12889202947354284,0.20687665353010545,0.19112546062031135,False
0,blend,p59_r000_blend_0,oof_blend,0.0,False,True,2.4235899540947843,0.12465960791242144,0.19941680613474802,0.18565254644650897,False
0,blend,p59_r000_blend_1,oof_blend,0.0,False,True,2.422010842606287,0.12413132823735118,0.1987815824606445,0.184520251775472,False
0,blend,p59_r000_blend_2,oof_blend,0.0,False,True,2.468149454063515,0.1255832938487163,0.20123488243245008,0.18656741860082274,False
0,blend,p59_r000_blend_3,oof_blend,0.0,False,True,2.42943932128889,0.1236508567314761,0.19843177945601076,0.18310753448311226,False
1,train,p59_r001_train_0,metric_shape_mlp,153.77676312500262,False,True,2.5431449567802096,0.12762823743938398,0.2055977553873843,0.18783429318299527,False
1,train,p59_r001_train_1,metric_shape_mlp,243.5162617499882,False,True,2.5589997194479945,0.1302110873543307,0.20800586701928123,0.19451689388856044,False
1,train,p59_r001_train_2,metric_shape_mlp,160.65738054199028,False,True,2.5388455742819542,0.12750049221214135,0.20563102910883896,0.18746815043283974,False
1,train,p59_r001_train_3,metric_shape_mlp,170.47538883402012,False,True,2.606542048166123,0.1322389856920193,0.21242184858210583,0.19591682786371853,False
1,blend,p59_r001_blend_0,oof_blend,0.0,False,True,2.4775175004944585,0.12513141583049558,0.2018912809786122,0.1836914594475935,False
1,blend,p59_r001_blend_1,oof_blend,0.0,False,True,2.458227313463704,0.12438198584534936,0.20065912255745866,0.18256057878181994,False
1,blend,p59_r001_blend_2,oof_blend,0.0,False,True,2.4810028696049784,0.12521446070365777,0.20186905322480983,0.18398611222328767,False
1,blend,p59_r001_blend_3,oof_blend,0.0,False,True,2.4203556387393705,0.12339043157835605,0.19874796352034926,0.18155799916988993,False
2,train,p59_r002_train_0,metric_shape_mlp,202.34449233399937,False,True,2.4733457787258386,0.125899519653203,0.2025364486770075,0.1856685054710783,False
2,train,p59_r002_train_1,metric_shape_mlp,183.93635716600693,False,True,2.850706776774272,0.13284570216781097,0.21747492602706756,0.18989385189774285,False
2,train,p59_r002_train_2,metric_shape_mlp,152.50408804201288,False,True,2.6517475511312534,0.13499432972792272,0.21619582885557728,0.20100499781339612,False
2,train,p59_r002_train_3,metric_shape_mlp,179.01656395799364,False,True,2.887110285127635,0.13516032552679147,0.22078406313048257,0.194247593588008,False
2,blend,p59_r002_blend_0,oof_blend,0.0,False,True,2.4312254078726965,0.12449399218219495,0.20013492247410292,0.18382422181885252,False
2,blend,p59_r002_blend_1,oof_blend,0.0,False,True,2.4480617748492564,0.12577679578070436,0.20189601102691904,0.18625469405132586,False
2,blend,p59_r002_blend_2,oof_blend,0.0,False,True,2.525317607442858,0.12956232148235444,0.20796891715293822,0.19203062703070634,False
2,blend,p59_r002_blend_3,oof_blend,0.0,False,True,2.4397753842337693,0.12402457805109797,0.1997771983809207,0.18251016452544686,False
3,train,p59_r003_train_0,metric_shape_mlp,198.34579929098254,False,True,2.504803785094877,0.12850948435827908,0.20644551793108912,0.1900591606478343,False
3,train,p59_r003_train_1,metric_shape_mlp,160.85628574999282,False,True,2.606092913395236,0.12973369583967076,0.20879436253306058,0.19135747861057703,False
3,train,p59_r003_train_2,metric_shape_mlp,173.92677845800063,False,True,2.507049904968862,0.12841338736494115,0.2061805926143397,0.1901386698889926,False
3,train,p59_r003_train_3,metric_shape_mlp,206.02280133299064,False,True,2.6178880895892247,0.1300536673732076,0.20899399778698705,0.1924569376754255,False
3,blend,p59_r003_blend_0,oof_blend,0.0,False,True,2.4283810924955587,0.1252131986828495,0.20150483836886385,0.1845760800881192,False
3,blend,p59_r003_blend_1,oof_blend,0.0,False,True,2.4036741822978196,0.12410854190397985,0.19982777762937448,0.18279645164811584,False
3,blend,p59_r003_blend_2,oof_blend,0.0,False,True,2.4306141781578186,0.1253127319277807,0.20135980435942605,0.185233174956586,False
3,blend,p59_r003_blend_3,oof_blend,0.0,False,True,2.3888526255355695,0.12302749849565306,0.19806062881849135,0.18114707725442494,False
4,train,p59_r004_train_0,metric_shape_mlp,123.41639279201627,False,True,2.930923118351097,0.1360491657959773,0.22225331245028962,0.19526643455919948,False
4,train,p59_r004_train_1,metric_shape_mlp,196.34263445899705,False,True,2.583604960669537,0.13084125602954108,0.20892052547134665,0.19585727116622728,False
4,train,p59_r004_train_2,metric_shape_mlp,174.7074794160144,False,True,2.8669268068976006,0.13395608355356597,0.21966674495125812,0.19103422955837626,False
4,train,p59_r004_train_3,metric_shape_mlp,214.51767812497565,False,True,2.448123057743724,0.12600178586377142,0.20221901722324573,0.1865638048510323,False
4,blend,p59_r004_blend_0,oof_blend,0.0,False,True,2.399710738337726,0.12416473400559172,0.19890341263972733,0.18444684242116702,False
4,blend,p59_r004_blend_1,oof_blend,0.0,False,True,2.4080382124663124,0.12450823867901335,0.19916889797259765,0.18549109687843385,False
4,blend,p59_r004_blend_2,oof_blend,0.0,False,True,2.471403197820061,0.12678049011382678,0.2027767523764667,0.18900954498902353,False
4,blend,p59_r004_blend_3,oof_blend,0.0,False,True,2.413506239217831,0.12339465100208806,0.19824512151559637,0.18238210355783438,False
5,train,p59_r005_train_0,metric_shape_mlp,165.8881789589941,False,True,2.594562342801855,0.12874729027510484,0.20783606906978738,0.18885015468601868,False
5,train,p59_r005_train_1,metric_shape_mlp,222.52496504198643,False,True,2.4585217326021267,0.12696526911052816,0.2027232813820995,0.18962368760028994,False
5,train,p59_r005_train_2,metric_shape_mlp,164.04581074998714,False,True,2.5860165838540077,0.1297631952337686,0.20906727812902204,0.1911403718053787,False
5,train,p59_r005_train_3,metric_shape_mlp,170.48514108298696,False,True,2.606467197709641,0.13271744115615286,0.21232539018577035,0.19812004212013443,False
5,blend,p59_r005_blend_0,oof_blend,0.0,False,True,2.409063264283905,0.12461258309694231,0.19914430033667338,0.18577231158671684,False
5,blend,p59_r005_blend_1,oof_blend,0.0,False,True,2.4187154630372265,0.12428039508842162,0.19901368535586217,0.18470167370619747,False
5,blend,p59_r005_blend_2,oof_blend,0.0,False,True,2.4777492821161964,0.12600628175756926,0.20228701334309784,0.1865985063183725,False
5,blend,p59_r005_blend_3,oof_blend,0.0,False,True,2.397788120261335,0.12320956765934202,0.19714999138203848,0.1832859252142058,False
6,train,p59_r006_train_0,metric_shape_mlp,169.06215366598917,False,True,2.5236145914421786,0.1289013564429164,0.20709279401361025,0.19078711912573632,False
6,train,p59_r006_train_1,metric_shape_mlp,165.13714262499707,False,True,2.836906038082992,0.13231707369440734,0.21681234694128929,0.188764103078805,False
6,train,p59_r006_train_2,metric_shape_mlp,144.96664866700303,False,True,2.5656430467690616,0.13108194815906543,0.2101914773802156,0.19475458858322492,False
6,train,p59_r006_train_3,metric_shape_mlp,226.6813709999842,False,True,2.875993134963816,0.1352689300723858,0.2200261718117414,0.19589370312134297,False
6,blend,p59_r006_blend_0,oof_blend,0.0,False,True,2.446304073474538,0.1262110288050036,0.2024175131168549,0.18724181395494197,False
6,blend,p59_r006_blend_1,oof_blend,0.0,False,True,2.4294068866454275,0.12559918516137397,0.201346286797406,0.18648874953572442,False
6,blend,p59_r006_blend_2,oof_blend,0.0,False,True,2.468320055577686,0.1273267496363303,0.20431887986919747,0.1887825381709257,False
6,blend,p59_r006_blend_3,oof_blend,0.0,False,True,2.4390648732758486,0.12460183706238129,0.20044709179589623,0.18383253905315156,False
