round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,safe_relative_signed_bias,zero_target_bin
0,p59_r000_train_0,calls,0,0.0,1.1851493895699847,1.1851493895699847,0.0038161859244031132,True
0,p59_r000_train_0,calls,1,0.0,1.184826909532135,1.184826909532135,0.003815147537350668,True
0,p59_r000_train_0,calls,2,1767.1122488490726,1118.1081814371898,-649.0040674118827,-0.3672681618468672,False
0,p59_r000_train_0,calls,3,5031.999230663874,2831.536319261979,-2200.4629114018953,-0.437293968169305,False
0,p59_r000_train_0,calls,4,24606.282118418665,12052.050052870985,-12554.23206554768,-0.5102043455866255,False
0,p59_r000_train_0,calls,5,310558.6082668006,326650.4158901783,16091.80762337771,0.051815686942907904,False
0,p59_r000_train_0,calls,6,1551119.6880495672,1378977.9954078626,-172141.69264170458,-0.11097898761001586,False
0,p59_r000_train_0,calls,7,2904284.94813107,3032175.2874544812,127890.33932341123,0.04403505220991131,False
0,p59_r000_train_0,calls,8,1391137.559724508,1397946.4048368912,6808.845112383133,0.0048944441653430105,False
0,p59_r000_train_0,calls,9,345451.48231597856,331232.36969957384,-14219.112616404716,-0.041160954126110066,False
0,p59_r000_train_0,calls,10,4737.760266255597,3731.027581511207,-1006.7326847443906,-0.21249126763858894,False
0,p59_r000_train_0,calls,11,0.0,1.1845996324831654,1.1845996324831654,0.0038144157043152284,True
0,p59_r000_train_0,logical_bytes,0,0.0,73761135.3298451,73761135.3298451,0.019438718345687677,True
0,p59_r000_train_0,logical_bytes,1,0.0,74042252.46415584,74042252.46415584,0.01951280284522225,True
0,p59_r000_train_0,logical_bytes,2,217142753.1385741,281553550.4938694,64410797.35529533,0.0169745671973699,False
0,p59_r000_train_0,logical_bytes,3,1680304948.9872434,1644859032.219359,-35445916.76788449,-0.009341276940416119,False
0,p59_r000_train_0,logical_bytes,4,29688525019.178562,16409699950.996826,-13278825068.181736,-0.4472712962197925,False
0,p59_r000_train_0,logical_bytes,5,1086554615181.9458,1209800803070.0586,123246187888.1128,0.11342843347775479,False
0,p59_r000_train_0,logical_bytes,6,19359287150266.84,16311873626852.453,-3047413523414.3867,-0.1574135194008103,False
0,p59_r000_train_0,logical_bytes,7,108272547556364.44,112658433747143.36,4385886190778.922,0.04050783222308241,False
0,p59_r000_train_0,logical_bytes,8,162453449513508.25,164958578406243.8,2505128892735.5625,0.015420595255056478,False
0,p59_r000_train_0,logical_bytes,9,118285301917077.55,112010649869582.5,-6274652047495.047,-0.05304676021280999,False
0,p59_r000_train_0,logical_bytes,10,3794547254511.1704,2924049548611.1064,-870497705900.064,-0.22940752809578732,False
0,p59_r000_train_0,logical_bytes,11,0.0,73762575.18895072,73762575.18895072,0.01943909780047083,True
0,p59_r000_train_1,calls,0,0.0,1.9210723014233881,1.9210723014233881,0.006185860737027121,True
0,p59_r000_train_1,calls,1,0.0,1.891615893259261,1.891615893259261,0.006091010981199966,True
0,p59_r000_train_1,calls,2,1767.1122488490726,1224.8467339083963,-542.2655149406762,-0.30686534785430636,False
0,p59_r000_train_1,calls,3,5031.999230663874,1834.3101057573112,-3197.689124906563,-0.6354709089422278,False
0,p59_r000_train_1,calls,4,24606.282118418665,9396.95214923777,-15209.329969180895,-0.6181075993514753,False
0,p59_r000_train_1,calls,5,310558.6082668006,275682.46249786037,-34876.145768940216,-0.11230133327677123,False
0,p59_r000_train_1,calls,6,1551119.6880495672,1436585.2811809015,-114534.40686866571,-0.0738398253539579,False
0,p59_r000_train_1,calls,7,2904284.94813107,3023609.2970916703,119324.34896060033,0.041085620416614586,False
0,p59_r000_train_1,calls,8,1391137.559724508,1403901.502586224,12763.94286171603,0.00917518384324532,False
0,p59_r000_train_1,calls,9,345451.48231597856,330376.9219255316,-15074.560390446975,-0.043637272271590755,False
