policy,selected_method,selection_source,rule,h0_calls_mape,h0_histogram_tv,h0_cost_mape,legacy_wins,legacy_cost_guard,enhanced_wins,enhanced_cost_guard
mb1,enhanced_bounded_residual,development_validation_only,at_least_2_of_calls_tv_cost_wins_and_cost_mape_within_110pct_of_h0,0.07729999465841789,0.07845763934214954,0.026085702447623302,0,False,2,True
mb4,enhanced_bounded_residual,development_validation_only,at_least_2_of_calls_tv_cost_wins_and_cost_mape_within_110pct_of_h0,0.31781489514284544,0.18483603921598213,0.06886375020467793,3,True,3,True
mb16,enhanced_bounded_residual,development_validation_only,at_least_2_of_calls_tv_cost_wins_and_cost_mape_within_110pct_of_h0,1.3869756070279107,0.48390383840807544,0.17259574044504225,3,True,3,True
