method,path,sha256,bytes,feature_columns,best_epoch,best_validation_loss
legacy_bounded_residual,checkpoints/pp_legacy_bounded_residual.pt,3752fa03a85e34de66f43a1909ef94debf7df1b28d23297014ab40a94718e8aa,44213,52,53,0.03719215840101242
enhanced_bounded_residual,checkpoints/pp_enhanced_bounded_residual.pt,7706f30a6fcb39942f364a765a0e86a72ea98b674a054147a7a1aaa0be4606ec,61653,108,54,0.03492721915245056
enhanced_direct,checkpoints/pp_enhanced_direct.pt,019cd1ae09ca139a4c61afca681f96344df1186b59601f38c2dff4d890b3357b,61301,108,114,0.04411812499165535
