curve_id,topology_category,phase,slice_type,slice_value,cases,physical_cost_mape,phase35_proxy_cost_mape,physical_minus_proxy_cost_mape,physical_cost_wape,phase35_proxy_cost_wape,physical_minus_proxy_cost_wape,physical_signed_bias,phase35_proxy_signed_bias,physical_minus_proxy_signed_bias,physical_evidence,proxy_evidence
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,deepseek-v2-lite,108,0.189864481283032,0.18764055617488337,0.0022239251081486167,0.047000977199082306,0.04699548442496603,5.4927741162738575e-06,0.014628152349869706,0.015115303361388494,-0.00048715101151878756,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,llama-3.2-3b-instruct,108,0.19029357214020892,0.1867722211176378,0.0035213510225711175,0.047757494803446716,0.04716900315026227,0.0005884916531844475,0.015973170755720977,0.015937316396230198,3.585435949077925e-05,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,mixtral-8x7b-instruct-v0.1,108,0.19223471048544558,0.18568930354996777,0.00654540693547781,0.04795103927918255,0.047305322475227736,0.000645716803954817,0.01697670797299846,0.01643358942953104,0.0005431185434674191,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,qwen2.5-14b-instruct,108,0.19213700038129478,0.18455647124722305,0.0075805291340717285,0.047662822918005575,0.047439195439689115,0.0002236274783164599,0.018471730156953515,0.01688740815720432,0.0015843219997491963,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,qwen3-30b-a3b,108,0.18985300285928097,0.18764239586619594,0.0022106069930850347,0.04699886504775768,0.046995641995075936,3.2230526817444982e-06,0.014642497259310593,0.015115729250672604,-0.0004732319913620109,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,model,qwen3-8b,108,0.19217036265038026,0.18568819022693958,0.00648217242344068,0.04793576158657858,0.047305398395438014,0.0006303631911405636,0.01699477434354811,0.016433807995298012,0.0005609663482500984,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,overall,all,648,0.1910921882999404,0.18633152303047457,0.004760665269465836,0.047549250839405484,0.04720204189511391,0.0003472089442915771,0.016274750828844133,0.015988681643881678,0.000286069184962455,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,policy,mb1,216,0.034073719543409715,0.03395435771617836,0.00011936182723135819,0.0238404032379416,0.0238318833190078,8.519918933799081e-06,0.0013554126096036805,0.0012122246931847195,0.00014318791641896103,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,policy,mb16,216,0.4422149373055201,0.43003239583427444,0.012182541471245645,0.23713965347747612,0.23258791095625556,0.004551742521220564,0.1629347912652882,0.1614194847136592,0.0015153065516290143,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,decode,policy,mb4,216,0.09698790805089148,0.09500781554097089,0.0019800925099205946,0.06145876966534693,0.060317692612585926,0.0011410770527610012,0.014718893453974886,0.013476763718031843,0.0012421297359430424,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,deepseek-v2-lite,108,0.14395938067125727,0.04272565056461891,0.10123373010663836,0.11571995365884387,0.025809175217439338,0.08991077844140453,-0.08778367520785167,-0.018233025733559453,-0.06955064947429222,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,llama-3.2-3b-instruct,108,0.13999460541034733,0.030939652408874144,0.10905495300147319,0.11331682383323441,0.01770570814728277,0.09561111568595164,-0.09100016859714041,-0.01287042474801912,-0.07812974384912129,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
pp_single_node_nvidia_b200_nvlink_nv18_measured,NVLINK_NV18,prefill,model,mixtral-8x7b-instruct-v0.1,108,0.13899321445086676,0.02447464084652385,0.11451857360434292,0.11208934721227962,0.013580824147676609,0.098508523064603,-0.08433821808556898,-0.00977194366239968,-0.0745662744231693,phase37_physical_measurement,phase35_parameterized_p2p_sensitivity_not_physical_measurement
